company,latest_exit_date,deal_type,hq_location
VeraDermics (NYS: MANE),04-Feb-2026,IPO,"""New Haven, CT"""
Vertical Aerospace Group (NYS: EVTL),15-Dec-2021,Reverse Merger,"""Bristol, United Kingdom"""
Via Transportation (NYS: VIA),12-Sep-2025,IPO,"""New York, NY"""
Vicarious Surgical (NYS: RBOT),20-Sep-2021,Reverse Merger,"""Waltham, MA"""
Vinpai (PAR: ALVIN),19-Jul-2023,IPO,"""Saint-Dolay, France"""
Virpax Pharmaceuticals (PINX: VRPX),17-Feb-2021,IPO,"""Berwyn, PA"""
Vivani Medical (NAS: VANI),31-Aug-2022,Reverse Merger,"""Alameda, CA"""
Vocodia (PINX: VHAI),23-Feb-2024,IPO,"""Boca Raton, FL"""
Volato (ASE: SOAR),01-Dec-2023,Reverse Merger,"""Chamblee, GA"""
Vor Biopharma (NAS: VOR),05-Feb-2021,IPO,"""Cambridge, MA"""
Voyager (NYS: VOYG),11-Jun-2025,IPO,"""Denver, CO"""
Wallbox (NYS: WBX),04-Oct-2021,Reverse Merger,"""Barcelona, Spain"""
Warby Parker (NYS: WRBY),29-Sep-2021,IPO,"""New York, NY"""
Wealthfront (NAS: WLTH),12-Dec-2025,IPO,"""Palo Alto, CA"""
Wearco (WAR: ANR),08-Jan-2021,IPO,"""Kokotow, Poland"""
Weave (Business/Productivity Software) (NYS: WEAV),11-Nov-2021,IPO,"""Lehi, UT"""
Weedmaps (NAS: MAPS),16-Jun-2021,Reverse Merger,"""Irvine, CA"""
Werewolf Therapeutics (NAS: HOWL),30-Apr-2021,IPO,"""Cambridge, MA"""
Wheels Up Experience (NYS: UP),14-Jul-2021,Reverse Merger,"""New York, NY"""
Whitehawk Therapeutics (NAS: WHWK),26-Aug-2021,Reverse Merger,"""Morristown, NJ"""
Woodpecker.co (WAR: WPR),14-Sep-2021,IPO,"""Wroclaw, Poland"""
World Chess (LON: CHSS),06-Apr-2023,IPO,"""London, United Kingdom"""
XCharge (NAS: XCH),10-Sep-2024,IPO,"""Hamburg, Germany"""
Xilio Therapeutics (NAS: XLO),22-Oct-2021,IPO,"""Waltham, MA"""
Xometry (NAS: XMTR),30-Jun-2021,IPO,"""Bethesda, MD"""
Yolo Group (MIL: YOLO),05-Aug-2022,IPO,"""Milan, Italy"""
Yubico (STO: YUBICO),20-Sep-2023,Reverse Merger,"""Stockholm, Sweden"""
Zefiro Methane (NEOE: ZEFI),23-Apr-2024,IPO,"""Vancouver, Canada"""
Zenas BioPharma (NAS: ZBIO),13-Sep-2024,IPO,"""Waltham, MA"""
ZeroStack ( Distributors/Wholesale) (NAS: ZSTK),11-May-2021,IPO,"""Fort Lauderdale, FL"""
Zodiac Gold (TSX: ZAU),19-Jan-2024,Reverse Merger,"""Vancouver, Canada"""
Zura Bio (NAS: ZURA),21-Mar-2023,Reverse Merger,"""Henderson, NV"""
ZyVersa Therapeutics (PINX: ZVSA),12-Dec-2022,Reverse Merger,"""Weston, FL"""
