company,latest_exit_date,deal_type,hq_location
Azerion Group (AMS: AZRN),02-Feb-2022,Reverse Merger,"""Amsterdam, Netherlands"""
Azitra (ASE: AZTR),15-Jun-2023,IPO,"""Branford, CT"""
Bakkt Holdings (NYS: BKKT),18-Oct-2021,Reverse Merger,"""Alpharetta, GA"""
Banzai International (NAS: BNZI),14-Dec-2023,Reverse Merger,"""Bainbridge Island, WA"""
Barinthus Biotherapeutics (NAS: BRNS),30-Apr-2021,IPO,"""Harwell, United Kingdom"""
Bawat (STO: BAWAT),28-Mar-2022,IPO,"""Horsholm, Denmark"""
Belite Bio (NAS: BLTE),29-Apr-2022,IPO,"""San Diego, CA"""
Bercman Technologies (TAL: BERCM),06-Jul-2021,IPO,"""Tartu, Estonia"""
Beta Bionics (NAS: BBNX),29-Jan-2025,IPO,"""Irvine, CA"""
BETA Technologies (NYS: BETA),04-Nov-2025,IPO,"""South Burlington, VT"""
Betolar (HEL: BETOLAR),09-Dec-2021,IPO,"""Kannonkoski, Finland"""
Better Home & Finance Holding (NAS: BETR),22-Aug-2023,Reverse Merger,"""New York, NY"""
BFLY Operations (NYS: BFLY),12-Feb-2021,Reverse Merger,"""Burlington, MA"""
Bicara Therapeutics (NAS: BCAX),09-Jan-2021,Merger/Acquisition,"""Boston, MA"""
BillionToOne (NAS: BLLN),06-Nov-2025,IPO,"""Menlo Park, CA"""
bioAffinity Technologies (NAS: BIAF),01-Sep-2022,IPO,"""San Antonio, TX"""
BioAge Labs (NAS: BIOA),26-Sep-2024,IPO,"""Richmond, CA"""
Biodit (XBUL: BDT),21-Jan-2021,IPO,"""Sofia, Bulgaria"""
Biohaven (NYS: BHVN),03-Oct-2022,Merger/Acquisition,"""New Haven, CT"""
Biomea Fusion (NAS: BMEA),16-Apr-2021,IPO,"""Redwood City, CA"""
BioSenic (BRU: BIOS),25-Oct-2022,Reverse Merger,"""Mont-Saint-Guibert, Belgium"""
Biosergen (STO: BIOSGN),24-Jun-2021,IPO,"""Solna, Sweden"""
Biotalys (BRU: BTLS),02-Jul-2021,IPO,"""Ghent, Belgium"""
BioVersys (SWX: BIOV),07-Feb-2025,IPO,"""Basel, Switzerland"""
BitGo (NYS: BTGO),22-Jan-2026,IPO,"""Palo Alto, CA"""
BlackSky Technology (NYS: BKSY),08-Sep-2021,Reverse Merger,"""Herndon, VA"""
Blaize (NAS: BZAI),13-Jan-2025,Reverse Merger,"""El Dorado Hills, CA"""
Blend Labs (NYS: BLND),16-Jul-2021,IPO,"""San Francisco, CA"""
Bluejay Diagnostics (NAS: BJDX),10-Nov-2021,IPO,"""Acton, MA"""
Boa Concept (PAR: ALBOA),29-Jun-2021,IPO,"""Saint-�tienne, France"""
Boleron (XBUL: BLRN),15-Feb-2024,IPO,"""Sofia, Bulgaria"""
Bolt Biotherapeutics (NAS: BOLT),05-Feb-2021,IPO,"""Redwood City, CA"""
Bonzun (STO: PADEL),13-Oct-2021,Reverse Merger,"""Stockholm, Sweden"""
Boundless Bio (NAS: BOLD),28-Mar-2024,IPO,"""San Diego, CA"""
BPC Instruments (SAT: BPCINS),16-Dec-2021,IPO,"""Lund, Sweden"""
Brag House (NAS: TBH),06-Mar-2025,IPO,"""New York, NY"""
Brain+ (CSE: BRAINP),07-Oct-2021,IPO,"""Copenhagen, Denmark"""
BrainScan (WAR: BSN),15-May-2024,IPO,"""Gdansk, Poland"""
BranchOut Food (NAS: BOF),16-Jun-2023,IPO,"""Bend, OR"""
Braze (NAS: BRZE),17-Nov-2021,IPO,"""New York, NY"""
Broadpeak (PAR: ALBPK),13-Jun-2022,IPO,"""Cesson Sevigne, France"""
Br�ush (PINX: BRSHF),04-Aug-2022,IPO,"""Vancouver, Canada"""
BTQ Technologies (NEOE: BTQ),17-Feb-2023,Reverse Merger,"""Vancouver, Canada"""
Buda Juice (ASE: BUDA),08-Jan-2026,IPO,"""Dallas, TX"""
BullFrog AI (NAS: BFRG),14-Feb-2023,IPO,"""Gaithersburg, MD"""
Bumble (NAS: BMBL),11-Feb-2021,IPO,"""Austin, TX"""
BuzzFeed (NAS: BZFD),03-Dec-2021,Reverse Merger,"""New York, NY"""
Cadrenal Therapeutics (NAS: CVKD),20-Jan-2023,IPO,"""Ponte Vedra Beach, FL"""
Caliber (Arizona) (NAS: CWD),17-May-2023,IPO,"""Scottsdale, AZ"""
Calidi Biotherapeutics (ASE: CLDI),12-Sep-2023,Reverse Merger,"""San Diego, CA"""
CAMP4 (NAS: CAMP),11-Oct-2024,IPO,"""Cambridge, MA"""
Canatu (HEL: CANATU),16-Sep-2024,Reverse Merger,"""Vantaa, Finland"""
Cantourage (FRA: HIGH),11-Nov-2022,IPO,"""Berlin, Germany"""
CapsoVision (NAS: CV),02-Jul-2025,IPO,"""Saratoga, CA"""
Caribou Biosciences (NAS: CRBU),23-Jul-2021,IPO,"""Berkeley, CA"""
Carisma Therapeutics (PINX: CARM),07-Mar-2023,Reverse Merger,"""Philadelphia, PA"""
Carlsmed (NAS: CARL),23-Jul-2025,IPO,"""Carlsbad, CA"""
Cartesian Therapeutics (NAS: RNAC),13-Nov-2023,Reverse Merger,"""Frederick, MD"""
Cava Group (Restaurants and Bars) (NYS: CAVA),16-Jun-2023,IPO,"""Washington, DC"""
Centessa Pharmaceuticals (NAS: CNTA),28-May-2021,IPO,"""Altrincham, United Kingdom"""
Century Therapeutics (NAS: IPSC),18-Jun-2021,IPO,"""Philadelphia, PA"""
Ceribell (NAS: CBLL),11-Oct-2024,IPO,"""Sunnyvale, CA"""
CERo Therapeutics Holdings (PINX: CERO),07-Jun-2023,Reverse Merger,"""South San Francisco, CA"""
CervoMed (NAS: CRVO),16-Aug-2023,Reverse Merger,"""Boston, MA"""
CF Intercity (MAD: CITY),29-Oct-2021,IPO,"""Alicante, Spain"""
CG Oncology (NAS: CGON),25-Jan-2024,IPO,"""Irvine, CA"""
Chain Bridge I (PINX: CBRRF),10-Nov-2021,IPO,"""Dover, DE"""
ChargePoint (NYS: CHPT),26-Feb-2021,Reverse Merger,"""Campbell, CA"""
Checkin.com Group (STO: CHECK),20-May-2021,IPO,"""Stockholm, Sweden"""
Chime Financial (NAS: CHYM),11-Jun-2025,IPO,"""San Francisco, CA"""
Cinclus Pharma (STO: CINPHA),19-Jun-2024,IPO,"""Stockholm, Sweden"""
Circle (NYS: CRCL),05-Jun-2025,IPO,"""New York, NY"""
Cizzle Biotechnology Holdings (LON: CIZ),26-Apr-2021,Reverse Merger,"""London, United Kingdom"""
Climb Bio (NAS: CLYM),10-Aug-2021,IPO,"""Wellesley Hills, MA"""
Cloudastructure (NAS: CSAI),01-Apr-2025,IPO,"""Palo Alto, CA"""
Clover Health Investments (NAS: CLOV),07-Jan-2021,Reverse Merger,"""Franklin, TN"""
Cognition Therapeutics (NAS: CGTX),08-Oct-2021,IPO,"""New York, NY"""
Compass (Application Software) (NYS: COMP),01-Apr-2021,IPO,"""New York, NY"""
Compass Therapeutics (NAS: CMPX),04-Nov-2021,IPO,"""Boston, MA"""
Confluent (NAS: CFLT),24-Jun-2021,IPO,"""Mountain View, CA"""
ConnectM Technology Solutions (PINX: CNTM),12-Jul-2024,Reverse Merger,"""Marlborough, MA"""
Context Therapeutics (NAS: CNTX),20-Oct-2021,IPO,"""Philadelphia, PA"""
ContextLogic Holdings (PINX: LOGC),19-Apr-2024,Merger/Acquisition,"""San Francisco, CA"""
Contineum Therapeutics (NAS: CTNM),05-Apr-2024,IPO,"""San Diego, CA"""
Core Scientific (NAS: CORZ),20-Jan-2022,Reverse Merger,"""Dover, DE"""
CoreWeave (NAS: CRWV),28-Mar-2025,IPO,"""Livingston, NJ"""
Coupang (NYS: CPNG),11-Mar-2021,IPO,"""Seattle, WA"""
Coursera (NYS: COUR),31-Mar-2021,IPO,"""Mountain View, CA"""
