company,latest_exit_date,deal_type,hq_location
Accellix,22-Jan-2026,Merger/Acquisition,"""San Jose, CA"""
Access Physicians,26-Mar-2021,Merger/Acquisition,"""Dallas, TX"""
Accessibility Now,09-Mar-2022,Merger/Acquisition,"""East Greenwich, RI"""
Acclarent,01-Apr-2024,Merger/Acquisition,"""Irvine, CA"""
Accolade (Managed Care),01-Apr-2025,Merger/Acquisition,"""Seattle, WA"""
Accrualify,03-Aug-2022,Merger/Acquisition,"""San Mateo, CA"""
Accubits,02-Dec-2024,Merger/Acquisition,"""Vienna, VA"""
Accurics,01-Oct-2021,Merger/Acquisition,"""Pleasanton, CA"""
Accusonus,10-Feb-2022,Merger/Acquisition,"""Lexington, MA"""
ACEA Therapeutics,01-Jun-2021,Merger/Acquisition,"""San Diego, CA"""
Acelyrin,05-May-2023,IPO,"""Agoura Hills, CA"""
Acenta,24-Jan-2025,Reverse Merger,"""Stockholm, Sweden"""
Acera Surgical,23-Dec-2025,Merger/Acquisition,"""Saint Louis, MO"""
Aceyus,14-Aug-2023,Merger/Acquisition,"""Charlotte, NC"""
Achilles Therapeutics (DUS: 698),31-Mar-2021,IPO,"""London, United Kingdom"""
Acregreen,01-Apr-2023,Merger/Acquisition,"""Tipperary, Ireland"""
Acticor Biotech,01-Nov-2021,IPO,"""Paris, France"""
Action Face,04-Jun-2024,Merger/Acquisition,"""Berkeley, CA"""
Action Network (Information Services (B2C)),28-May-2021,Merger/Acquisition,"""New York, NY"""
ActiveQuote,08-Aug-2024,Merger/Acquisition,"""Cardiff, United Kingdom"""
AcuFocus,17-Jan-2023,Merger/Acquisition,"""Irvine, CA"""
Acutrace,28-Mar-2023,Merger/Acquisition,"""Dublin, Ireland"""
Adaptive Mobile Security,17-Jul-2021,Merger/Acquisition,"""Dublin, Ireland"""
Adaptive Phage Therapeutics,15-Mar-2024,Merger/Acquisition,"""Gaithersburg, MD"""
Adaptive3D,07-May-2021,Merger/Acquisition,"""Richardson, TX"""
Adaptix,18-Sep-2023,Merger/Acquisition,"""Oxford, United Kingdom"""
Adara,03-Feb-2023,Merger/Acquisition,"""Irving, TX"""
AdColony,29-Apr-2021,Merger/Acquisition,"""Los Angeles, CA"""
AdCreative.ai,12-Feb-2025,Merger/Acquisition,"""Paris, France"""
Additive Flow,14-Aug-2023,Merger/Acquisition,"""London, United Kingdom"""
Additive Instruments,09-Mar-2023,Merger/Acquisition,"""Watford, United Kingdom"""
ADELYA,29-Apr-2022,Merger/Acquisition,France
