company,latest_exit_date,deal_type,hq_location,founding_date,date_basis,source,confidence,status,time_to_exit_years,recommendation,review_reason,matched_name,url,notes
Arqit (NAS: ARQQ),03-Sep-2021,Reverse Merger,"""London, United Kingdom""",2017,legal_incorporation,SEC filing,MEDIUM,SEC_MATCH,4.67,REVIEW,Legal incorporation needs operating-company review,Arqit Quantum Inc.,https://www.sec.gov/Archives/edgar/data/1859690/000110465925119500/arqq-20250930x20f.htm,Extracted from filing text: incorporated in England in 2017
Arteris (NAS: AIP),27-Oct-2021,IPO,"""Campbell, CA""",2004-04-12,legal_incorporation,SEC filing,HIGH,SEC_MATCH,17.54,REVIEW,Legal incorporation needs operating-company review,"Arteris, Inc.",https://www.sec.gov/Archives/edgar/data/1667011/000162828026007726/aip-20251231.htm,"Extracted from filing text: incorporated in Delaware on April 12, 2004"
Artiva (NAS: ARTV),19-Jul-2024,IPO,"""San Diego, CA""",2019-02,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,5.46,REVIEW,Legal incorporation needs operating-company review,"Artiva Biotherapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1817241/000119312526100135/artv-20251231.htm,Extracted from filing text: incorporated in February 2019
Ascend Wellness Holdings (CNQ: AAWH.U),28-Apr-2021,IPO,"""Morristown, NJ""",2018,operating_founding,SEC filing,LOW,SEC_MATCH,3.32,REVIEW,Needs manual basis review,"Ascend Wellness Holdings, Inc.",https://www.sec.gov/Archives/edgar/data/1756390/000162828026017374/aawh-20251231.htm,Extracted from filing text: founded in 2018
Astera Labs (NAS: ALAB),20-Mar-2024,IPO,"""San Jose, CA""",2017,operating_founding,Wikidata,MEDIUM,REVIEW,7.21,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=semiconductor company
Autifony Therapeutics,14-Nov-2023,Merger/Acquisition,"""Stevenage, United Kingdom""",2011,operating_founding,Wikidata,MEDIUM,REVIEW,12.87,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united kingdom; desc=company in London, United Kingdom"
Avinode,22-Mar-2024,Merger/Acquisition,"""Gothenburg, Sweden""",2002,operating_founding,Wikidata,MEDIUM,REVIEW,22.22,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=sweden
Aviwest,01-Apr-2022,Merger/Acquisition,"""Saint Gr�goire Cedex, France""",2008-09-24,operating_founding,Wikidata,MEDIUM,REVIEW,13.52,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=france
BFLY Operations (NYS: BFLY),12-Feb-2021,Reverse Merger,"""Burlington, MA""",2020-02-04,legal_incorporation,SEC filing,HIGH,SEC_MATCH,1.02,REVIEW,Very short legal age may be issuer/reorg incorporation,"Butterfly Network, Inc.",https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Extracted from filing text: incorporated in Delaware on February 4, 2020"
Banzai International (NAS: BNZI),14-Dec-2023,Reverse Merger,"""Bainbridge Island, WA""",2015-09,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,8.28,REVIEW,Legal incorporation needs operating-company review,"Banzai International, Inc.",https://www.sec.gov/Archives/edgar/data/1826011/000119312526134714/bnzi-20251231.htm,Extracted from filing text: incorporated in Delaware in September 2015
Bardy Diagnostics,02-Aug-2021,Merger/Acquisition,"""Bellevue, WA""",2013,operating_founding,Wikidata,LOW,REVIEW,8.58,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Seattle, United States"
Beauty Labs,31-Aug-2021,Merger/Acquisition,"""Cambridge, United Kingdom""",2022-03-03,operating_founding,Wikidata,MEDIUM,REVIEW,,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united kingdom
BehavioSec,23-Apr-2022,Merger/Acquisition,"""San Francisco, CA""",2006,operating_founding,Wikidata,LOW,REVIEW,16.31,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Stockholm, Sweden"
Bicara Therapeutics (NAS: BCAX),09-Jan-2021,Merger/Acquisition,"""Boston, MA""",2018-12,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,2.11,REVIEW,Very short legal age may be issuer/reorg incorporation,Bicara Therapeutics Inc.,https://www.sec.gov/Archives/edgar/data/2023658/000162828026022010/bcax-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in December 2018
BillionToOne (NAS: BLLN),06-Nov-2025,IPO,"""Menlo Park, CA""",2016,operating_founding,SEC filing,LOW,SEC_MATCH,9.85,REVIEW,Needs manual basis review,"BillionToOne, Inc.",https://www.sec.gov/Archives/edgar/data/2070849/000207084926000017/blln-20251231.htm,Extracted from filing text: founded in 2016
BillionToOne (NAS: BLLN),06-Nov-2025,IPO,"""Menlo Park, CA""",2016,operating_founding,Wikidata,MEDIUM,REVIEW,9.85,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=BTO|BillionToOne, Inc.|Northstar Response; desc=company in Menlo Park, United States"
BioAge Labs (NAS: BIOA),26-Sep-2024,IPO,"""Richmond, CA""",2020-12,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,3.82,REVIEW,Legal incorporation needs operating-company review,"BioAge Labs, Inc.",https://www.sec.gov/Archives/edgar/data/1709941/000119312526120873/bioa-20251231.htm,Extracted from filing text: incorporated in Australia in December 2020
BioLegend,17-Sep-2021,Merger/Acquisition,"""San Diego, CA""",2002,operating_founding,Wikidata,MEDIUM,REVIEW,19.71,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=BioLegend (United States); desc=company in San Diego, United States"
Biognosys,03-Jan-2023,Merger/Acquisition,"""Zurich, Switzerland""",2008,operating_founding,Wikidata,LOW,REVIEW,15.01,REVIEW,Needs manual basis review,,,"hq=switzerland; desc=company in Schlieren, Switzerland"
Biomea Fusion (NAS: BMEA),16-Apr-2021,IPO,"""Redwood City, CA""",2017,operating_founding,SEC filing,LOW,SEC_MATCH,4.29,REVIEW,Needs manual basis review,"Biomea Fusion, Inc.",https://www.sec.gov/Archives/edgar/data/1840439/000119312526121825/bmea-20251231.htm,Extracted from filing text: founded in 2017
Biosergen (STO: BIOSGN),24-Jun-2021,IPO,"""Solna, Sweden""",2004,operating_founding,Wikidata,LOW,REVIEW,17.48,REVIEW,Needs manual basis review,,,"hq=sweden; desc=company in Trondheim, Norway"
Bird Office,30-May-2022,Merger/Acquisition,"""Paris, France""",2013-12,operating_founding,Wikidata,MEDIUM,REVIEW,8.49,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=france
BlackBox Biometrics,17-May-2021,Merger/Acquisition,"""Rochester, NY""",2011,operating_founding,Wikidata,LOW,REVIEW,10.37,REVIEW,Needs manual basis review,,,"hq=united states; aliases=B3; desc=company in Rochester, United States"
Blaize (NAS: BZAI),13-Jan-2025,Reverse Merger,"""El Dorado Hills, CA""",2010,legal_incorporation,SEC filing,MEDIUM,SEC_MATCH,15.03,REVIEW,Legal incorporation needs operating-company review,"Blaize Holdings, Inc.",https://www.sec.gov/Archives/edgar/data/1871638/000187163826000011/blz-20251231.htm,Extracted from filing text: incorporated in 2010
Blend Labs (NYS: BLND),16-Jul-2021,IPO,"""San Francisco, CA""",2012-04-17,legal_incorporation,SEC filing,HIGH,SEC_MATCH,9.25,REVIEW,Legal incorporation needs operating-company review,"Blend Labs, Inc.",https://www.sec.gov/Archives/edgar/data/1855747/000185574726000016/blnd-20251231.htm,"Extracted from filing text: incorporated in the state of Delaware on April 17, 2012"
Blue Ocean Robotics,11-Feb-2025,Merger/Acquisition,"""Odense, Denmark""",2021-12,operating_founding,Wikidata,LOW,REVIEW,3.20,REVIEW,Needs manual basis review,,,hq=denmark
BlueRibbon,01-Apr-2021,Merger/Acquisition,"""Ta'Xbiex, Malta""",1982,operating_founding,Wikidata,LOW,REVIEW,39.25,REVIEW,Needs manual basis review,,,hq=malta; aliases=National Blue Ribbon Award; desc=school excellence award in the United States
Boa Concept (PAR: ALBOA),29-Jun-2021,IPO,"""Saint-�tienne, France""",2012-06,operating_founding,Wikidata,MEDIUM,REVIEW,9.08,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=france
Bolt Biotherapeutics (NAS: BOLT),05-Feb-2021,IPO,"""Redwood City, CA""",2015,operating_founding,SEC filing,LOW,SEC_MATCH,6.10,REVIEW,Needs manual basis review,"Bolt Biotherapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1641281/000119312526104121/bolt-20251231.htm,Extracted from filing text: founded in 2015
Borqs Technologies,08-Apr-2025,Merger/Acquisition,"""Santa Clara, CA""",2007-09,operating_founding,Wikidata,MEDIUM,REVIEW,17.60,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=Borqs Beijing|Borqs Technologies Inc.; desc=developer of IoT products and solutions
Boundless Bio (NAS: BOLD),28-Mar-2024,IPO,"""San Diego, CA""",2018-04-10,legal_incorporation,SEC filing,HIGH,SEC_MATCH,5.97,REVIEW,Legal incorporation needs operating-company review,"Boundless Bio, Inc.",https://www.sec.gov/Archives/edgar/data/1782303/000119312526097543/bold-20251231.htm,"Extracted from filing text: incorporated in the state of Delaware on April 10, 2018"
Brand24,29-Apr-2024,Merger/Acquisition,"""Daytona Beach, FL""",2011-09-06,operating_founding,Wikidata,MEDIUM,REVIEW,12.65,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=Polish online media monitoring company
Bullfrog Power,30-Nov-2022,Merger/Acquisition,"""Calgary, Canada""",2005,operating_founding,Wikidata,MEDIUM,REVIEW,17.91,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=canada; desc=Canadian renewable energy company
Bumble (NAS: BMBL),11-Feb-2021,IPO,"""Austin, TX""",2020-10-05,legal_incorporation,SEC filing,HIGH,SEC_MATCH,0.35,REVIEW,Very short legal age may be issuer/reorg incorporation,Bumble Inc.,https://www.sec.gov/Archives/edgar/data/1830043/000183004326000027/bmbl-20251231.htm,"Extracted from filing text: incorporated in Delaware on October 5, 2020"
CAMP4 (NAS: CAMP),11-Oct-2024,IPO,"""Cambridge, MA""",1960,operating_founding,Wikidata,MEDIUM,REVIEW,64.78,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=Blumenhaus Interflor|Modesalon Madeleine; desc=cultural heritage site and camping store in Berlin
CF Intercity (MAD: CITY),29-Oct-2021,IPO,"""Alicante, Spain""",2017,operating_founding,Wikidata,MEDIUM,REVIEW,4.82,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=spain; aliases=Club de Fútbol Intercity|Club de Futbol Intercity|Intercity; desc=Spanish football club
CG Oncology (NAS: CGON),25-Jan-2024,IPO,"""Irvine, CA""",2017-11,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,6.23,REVIEW,Legal incorporation needs operating-company review,"CG Oncology, Inc.",https://www.sec.gov/Archives/edgar/data/1991792/000119312526079498/ck0001991792-20251231.htm,Extracted from filing text: incorporated in Delaware in November 2017
Cancer Prevention Pharmaceuticals,15-Jun-2022,Merger/Acquisition,"""Tucson, AZ""",2008,operating_founding,Wikidata,LOW,REVIEW,14.45,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Tucson, United States"
Capella Space,11-Jul-2025,Merger/Acquisition,"""San Francisco, CA""",2016-03,operating_founding,Wikidata,MEDIUM,REVIEW,9.36,REVIEW,"Possible issuer, SPAC, holding-company, or reorganization date",,,hq=united states; aliases=Capella; desc=American radar satellite imagery company
CapsoVision (NAS: CV),02-Jul-2025,IPO,"""Saratoga, CA""",2005,legal_incorporation,SEC filing,MEDIUM,SEC_MATCH,20.50,REVIEW,Legal incorporation needs operating-company review,"CapsoVision, Inc",https://www.sec.gov/Archives/edgar/data/1378325/000137832526000010/cv-20251231.htm,Extracted from filing text: incorporated in 2005
CapsoVision (NAS: CV),02-Jul-2025,IPO,"""Saratoga, CA""",2006,operating_founding,Wikidata,LOW,REVIEW,19.50,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Saratoga, United States"
CardCash,29-Dec-2023,Merger/Acquisition,"""Brick, NJ""",2009,operating_founding,Wikidata,MEDIUM,REVIEW,14.99,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=American online retail company
Carisma Therapeutics (PINX: CARM),07-Mar-2023,Reverse Merger,"""Philadelphia, PA""",2016,operating_founding,Wikidata,LOW,REVIEW,7.18,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Philadelphia, United States"
Carlsmed (NAS: CARL),23-Jul-2025,IPO,"""Carlsbad, CA""",2018-06,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,7.14,REVIEW,Legal incorporation needs operating-company review,"CARLSMED, INC.",https://www.sec.gov/Archives/edgar/data/1794546/000119312526071551/carl-20251231.htm,Extracted from filing text: incorporated in Delaware in June 2018
Carmot Therapeutics,26-Jan-2024,Merger/Acquisition,"""Berkeley, CA""",2008,operating_founding,Wikidata,LOW,REVIEW,16.07,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in San Francisco, United States"
Celfinet,06-Jun-2022,Merger/Acquisition,"""Lisbon, Portugal""",2003,operating_founding,Wikidata,LOW,REVIEW,19.43,REVIEW,Needs manual basis review,,,"hq=portugal; desc=company in Lisbon, Portugal"
Cell2Cure,03-Jan-2024,Merger/Acquisition,"""Birkerod, Denmark""",2018,operating_founding,Wikidata,MEDIUM,REVIEW,6.00,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=denmark; aliases=Cell2Cure|C2C; desc=company in Birkerød, Denmark"
Celsius Therapeutics,27-Jun-2024,Merger/Acquisition,"""Cambridge, MA""",2018,operating_founding,Wikidata,LOW,REVIEW,6.49,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Cambridge, United States"
Centessa Pharmaceuticals (NAS: CNTA),28-May-2021,IPO,"""Altrincham, United Kingdom""",2020-10-26,legal_incorporation,SEC filing,HIGH,SEC_MATCH,0.59,REVIEW,Very short legal age may be issuer/reorg incorporation,Centessa Pharmaceuticals plc,https://www.sec.gov/Archives/edgar/data/1847903/000184790326000025/cnta-20251231.htm,"Extracted from filing text: incorporated on October 26, 2020"
Century Therapeutics (NAS: IPSC),18-Jun-2021,IPO,"""Philadelphia, PA""",2018,operating_founding,Wikidata,LOW,REVIEW,3.46,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Philadelphia, United States"
Ceribell (NAS: CBLL),11-Oct-2024,IPO,"""Sunnyvale, CA""",2014,operating_founding,SEC filing,LOW,SEC_MATCH,10.78,REVIEW,Needs manual basis review,"Ceribell, Inc.",https://www.sec.gov/Archives/edgar/data/1861107/000119312526067238/cbll-20251231.htm,Extracted from filing text: founded in 2014
Cernostics,03-Dec-2021,Merger/Acquisition,"""Pittsburgh, PA""",2008,operating_founding,Wikidata,LOW,REVIEW,13.92,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Pittsburgh, United States"
Chain Bridge I (PINX: CBRRF),10-Nov-2021,IPO,"""Dover, DE""",2021-01-21,legal_incorporation,SEC filing,HIGH,SEC_MATCH,0.80,REVIEW,Very short legal age may be issuer/reorg incorporation,Chain Bridge I,https://www.sec.gov/Archives/edgar/data/1845149/000121390026038489/ea0284137-10k_chain1.htm,"Extracted from filing text: incorporated on January 21, 2021"
Chairish,04-Aug-2025,Merger/Acquisition,"""San Francisco, CA""",2013,operating_founding,Wikidata,MEDIUM,REVIEW,12.59,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=pamono; desc=company
Checkmate Pharmaceuticals,31-May-2022,Merger/Acquisition,"""Cambridge, MA""",2015,operating_founding,Wikidata,MEDIUM,REVIEW,7.41,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=biopharmaceutical company
Chime Financial (NAS: CHYM),11-Jun-2025,IPO,"""San Francisco, CA""",2012,legal_incorporation,SEC filing,MEDIUM,SEC_MATCH,13.44,REVIEW,Legal incorporation needs operating-company review,"Chime Financial, Inc.",https://www.sec.gov/Archives/edgar/data/1795586/000179558626000013/chym-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in 2012
Cidara Therapeutics,07-Jan-2026,Merger/Acquisition,"""San Diego, CA""",2013,operating_founding,Wikidata,MEDIUM,REVIEW,13.02,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; desc=company in San Diego, United States"
Circulomics,20-Jul-2021,Merger/Acquisition,"""Baltimore, MD""",2009-04-21,operating_founding,Wikidata,LOW,REVIEW,12.25,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Baltimore, United States"
Citymapper,15-Mar-2023,Merger/Acquisition,"""London, United Kingdom""",2011,operating_founding,Wikidata,MEDIUM,REVIEW,12.20,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united kingdom; desc=Public transit mapping application
Clarus Therapeutics,09-Sep-2021,Reverse Merger,"""Northbrook, IL""",2003,operating_founding,Wikidata,LOW,REVIEW,18.69,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Northbrook, United States"
Clearpath Robotics,02-Oct-2023,Merger/Acquisition,"""Kitchener, Canada""",2009,operating_founding,Wikidata,MEDIUM,REVIEW,14.75,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=canada; aliases=Clearpath Robotics; desc=company in Kitchener, Canada"
CloudSnap,18-Jan-2022,Merger/Acquisition,"""Austin, TX""",2011,operating_founding,Wikidata,MEDIUM,REVIEW,11.05,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=cloud computing platform
Cognition Therapeutics (NAS: CGTX),08-Oct-2021,IPO,"""New York, NY""",2007,operating_founding,Wikidata,LOW,REVIEW,14.77,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Pittsburgh, United States"
Compass (Application Software) (NYS: COMP),01-Apr-2021,IPO,"""New York, NY""",2012-10-04,legal_incorporation,SEC filing,HIGH,SEC_MATCH,8.49,REVIEW,Legal incorporation needs operating-company review,"Compass, Inc.",https://www.sec.gov/Archives/edgar/data/1563190/000156319026000057/comp-20251231.htm,"Extracted from filing text: incorporated in Delaware on October 4, 2012"
Compass Therapeutics (NAS: CMPX),04-Nov-2021,IPO,"""Boston, MA""",2018-03-20,legal_incorporation,SEC filing,HIGH,SEC_MATCH,3.63,REVIEW,Legal incorporation needs operating-company review,"Compass Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1738021/000117184326001337/cmpx20251231_10k.htm,"Extracted from filing text: incorporated in the State of Delaware on March 20, 2018"
Contineum Therapeutics (NAS: CTNM),05-Apr-2024,IPO,"""San Diego, CA""",2017-05,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,6.93,REVIEW,Legal incorporation needs operating-company review,"Contineum Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1855175/000162828026015165/ctnm-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in May 2017
Contura International,25-Feb-2021,Merger/Acquisition,"""London, United Kingdom""",2001-11,operating_founding,Wikidata,MEDIUM,REVIEW,19.32,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united kingdom
Conversocial,23-Aug-2021,Merger/Acquisition,"""Alpharetta, GA""",2009,operating_founding,Wikidata,MEDIUM,REVIEW,12.64,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=software company
CoreWeave (NAS: CRWV),28-Mar-2025,IPO,"""Livingston, NJ""",2017,operating_founding,Wikidata,MEDIUM,REVIEW,8.24,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=American cloud computing company
Credence ID,29-Dec-2025,Merger/Acquisition,"""Oakland, CA""",2017-06-24,operating_founding,Wikidata,LOW,REVIEW,8.51,REVIEW,Needs manual basis review,,,hq=united states
Crocus Technology,31-Oct-2023,Merger/Acquisition,"""Milpitas, CA""",2004,operating_founding,Wikidata,MEDIUM,REVIEW,19.83,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=company developing 2nd generation MRAM
Cubic3,04-Dec-2023,Merger/Acquisition,"""Dublin, Ireland""",1981,operating_founding,Wikidata,LOW,REVIEW,42.92,REVIEW,Needs manual basis review,,,hq=ireland; desc=Dutch design agency
Cullinan Therapeutics (NAS: CGEM),08-Jan-2021,IPO,"""Cambridge, MA""",2016-09,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,4.35,REVIEW,Legal incorporation needs operating-company review,"Cullinan Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1789972/000119312526099362/cgem-20251231.htm,Extracted from filing text: incorporated in September 2016
Cyteir Therapeutics,18-Jun-2021,IPO,"""Lexington, MA""",2012,operating_founding,Wikidata,LOW,REVIEW,9.46,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Lexington, United States"
DISCO (Austin) (NYS: LAW),21-Jul-2021,IPO,"""Austin, TX""",2013-12,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,7.64,REVIEW,Legal incorporation needs operating-company review,"CS Disco, Inc.",https://www.sec.gov/Archives/edgar/data/1625641/000162564126000044/law-20251231.htm,Extracted from filing text: incorporated in Delaware in December 2013
Day One Biopharmaceuticals (NAS: DAWN),27-May-2021,IPO,"""Brisbane, CA""",2018,operating_founding,Wikidata,MEDIUM,REVIEW,3.40,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=Day One|Day One Biopharmaceuticals|Day One Biopharmaceuticals, Inc.; desc=company in Brisbane, United States"
Deciphera Pharmaceuticals,11-Jun-2024,Merger/Acquisition,"""Waltham, MA""",2003,operating_founding,Wikidata,LOW,REVIEW,21.44,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Waltham, United States"
Depositphotos,01-Oct-2021,Merger/Acquisition,"""New York, NY""",2009-11-04,operating_founding,Wikidata,MEDIUM,REVIEW,11.91,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=American company
Diagenode,01-Mar-2021,Merger/Acquisition,"""Seraing, Belgium""",2003,operating_founding,Wikidata,LOW,REVIEW,18.16,REVIEW,Needs manual basis review,,,"hq=belgium; desc=company in Seraing, Belgium"
Dicerna Pharmaceuticals,28-Dec-2021,Merger/Acquisition,"""Lexington, MA""",2007,operating_founding,Wikidata,LOW,REVIEW,14.99,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Cambridge, United States"
Diem Association,31-Jan-2022,Merger/Acquisition,"""Geneva, Switzerland""",2019,operating_founding,Wikidata,MEDIUM,REVIEW,3.08,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=switzerland; aliases=Libra Project|GlobalCoin|Facebook Coin; desc=digital currency proposed by Meta Platforms
Digital Magics,01-Apr-2024,Merger/Acquisition,"""Milan, Italy""",2003,operating_founding,Wikidata,MEDIUM,REVIEW,21.25,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=italy
Dot Ai (NAS: DAIC),20-Jun-2025,Reverse Merger,"""Las Vegas, NV""",1995,operating_founding,Wikidata,MEDIUM,REVIEW,30.47,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=dot ai; desc=country code top-level domain for Anguilla
DotEmu,30-Sep-2021,Merger/Acquisition,"""Paris, France""",2007,operating_founding,Wikidata,MEDIUM,REVIEW,14.75,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=france; aliases=DotEmu SAS.; desc=French video game developer and publisher
DrChrono,18-Nov-2021,Merger/Acquisition,"""Orlando, FL""",2009,operating_founding,Wikidata,MEDIUM,REVIEW,12.88,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=company
Drizly,02-Feb-2021,Merger/Acquisition,"""Boston, MA""",2012,operating_founding,Wikidata,MEDIUM,REVIEW,9.09,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=drizly.com; desc=liquor selling E-commerce platform
Drone Racing League,19-Apr-2024,Merger/Acquisition,"""New York, NY""",2015,operating_founding,Wikidata,MEDIUM,REVIEW,9.30,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=air sports league
ESS Tech (NYS: GWH),11-Oct-2021,Reverse Merger,"""Wilsonville, OR""",2011,operating_founding,SEC filing,LOW,SEC_MATCH,10.78,REVIEW,Needs manual basis review,"ESS Tech, Inc.",https://www.sec.gov/Archives/edgar/data/1819438/000181943826000012/ghw-20251231.htm,Extracted from filing text: founded in 2011
EVRYTHNG,03-Jan-2022,Merger/Acquisition,"""London, United Kingdom""",2012,operating_founding,Wikidata,MEDIUM,REVIEW,10.01,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united kingdom; desc=UK business
EdgeCast Networks,15-Jun-2022,Merger/Acquisition,"""Santa Monica, CA""",2006,operating_founding,Wikidata,MEDIUM,REVIEW,16.45,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=content delivery network company
Edgewise Therapeutics (NAS: EWTX),26-Mar-2021,IPO,"""Boulder, CO""",2017,operating_founding,Wikidata,MEDIUM,REVIEW,4.23,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=Edgewise Therapeutics; desc=company in Boulder, United States"
Edible Garden (NAS: EDBL),05-May-2022,IPO,"""Belvidere, NJ""",2020-03-28,legal_incorporation,SEC filing,HIGH,SEC_MATCH,2.10,REVIEW,Very short legal age may be issuer/reorg incorporation,Edible Garden AG Inc,https://www.sec.gov/Archives/edgar/data/1809750/000147793226001867/edbl_10k.htm,"Extracted from filing text: incorporated on March 28, 2020"
Electric Last Mile Solutions,25-Jun-2021,Reverse Merger,"""Troy, MI""",2020,operating_founding,Wikidata,LOW,REVIEW,1.48,REVIEW,Needs manual basis review,,,hq=united states; aliases=Electric Last Mile Solutions; desc=American startup
Endomag,25-Jul-2024,Merger/Acquisition,"""Cambridge, United Kingdom""",2007,operating_founding,Wikidata,MEDIUM,REVIEW,17.56,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united kingdom; aliases=Endomagnetics; desc=UK medical device company
Endotronix,19-Aug-2024,Merger/Acquisition,"""Naperville, IL""",2007,operating_founding,Wikidata,LOW,REVIEW,17.63,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Lisle, United States"
Enliven Therapeutics (NAS: ELVN),23-Feb-2023,Reverse Merger,"""Boulder, CO""",2019-06,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,3.73,REVIEW,Legal incorporation needs operating-company review,"Enliven Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1672619/000119312526088232/elvn-20251231.htm,Extracted from filing text: incorporated in the State of Delaware in June 2019
Enogia (PAR: ALENO),14-Jul-2021,IPO,"""Marseille, France""",2009,operating_founding,Wikidata,MEDIUM,REVIEW,12.53,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=france
Enovix (NAS: ENVX),14-Jul-2021,Reverse Merger,"""Fremont, CA""",2006,legal_incorporation,SEC filing,MEDIUM,SEC_MATCH,15.53,REVIEW,Legal incorporation needs operating-company review,Enovix Corp,https://www.sec.gov/Archives/edgar/data/1828318/000182831826000006/envx-20251228.htm,Extracted from filing text: incorporated in Delaware in 2006
Entrada Therapeutics (NAS: TRDA),02-Nov-2021,IPO,"""Boston, MA""",2016-09-22,legal_incorporation,SEC filing,HIGH,SEC_MATCH,5.11,REVIEW,Legal incorporation needs operating-company review,"Entrada Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1689375/000168937526000011/trda-20251231.htm,"Extracted from filing text: incorporated in Delaware on September 22, 2016"
Evaxion (NAS: EVAX),05-Feb-2021,IPO,"""Hoersholm, Denmark""",2020-12-17,legal_incorporation,SEC filing,HIGH,SEC_MATCH,0.14,REVIEW,Very short legal age may be issuer/reorg incorporation,Evaxion A/S,https://www.sec.gov/Archives/edgar/data/1828253/000117184326001346/evax20251231_20f.htm,"Extracted from filing text: incorporated in the articles of association on December 17, 2020"
