company,latest_exit_date,deal_type,hq_location,founding_date,date_basis,source,confidence,status,time_to_exit_years,recommendation,review_reason,matched_name,url,notes
Udacity,20-May-2024,Merger/Acquisition,"""Mountain View, CA""",2011-06,operating_founding,Wikidata,MEDIUM,REVIEW,12.97,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=udacity.com; desc=for-profit educational organization
Udemy (NAS: UDMY),29-Oct-2021,IPO,"""San Francisco, CA""",2010,operating_founding,Wikidata,MEDIUM,REVIEW,11.82,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=udemy.com; desc=online learning platform
Unify Square,03-Jun-2021,Merger/Acquisition,"""Bellevue, WA""",2008,operating_founding,Wikidata,MEDIUM,REVIEW,13.42,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=U.S. headquartered enterprise software company
Unknown Worlds Entertainment,29-Oct-2021,Merger/Acquisition,"""San Francisco, CA""",2001,operating_founding,Wikidata,MEDIUM,REVIEW,20.82,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=American video game developer
Urgent.ly (NAS: ULY),19-Oct-2023,Reverse Merger,"""Vienna, VA""",2013,operating_founding,Wikidata,MEDIUM,REVIEW,10.80,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=roadside assistance technology company
VNDLY,21-Dec-2021,Merger/Acquisition,"""Mason, OH""",2024,operating_founding,Wikidata,MEDIUM,REVIEW,,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=inventory and sales management software for product-based businesses
Vertical Aerospace Group (NYS: EVTL),15-Dec-2021,Reverse Merger,"""Bristol, United Kingdom""",2016,operating_founding,SEC filing,LOW,SEC_MATCH,5.95,REVIEW,"Possible issuer, SPAC, holding-company, or reorganization date",Vertical Aerospace Ltd.,https://www.sec.gov/Archives/edgar/data/1867102/000110465926033487/evtl-20251231x20f.htm,Extracted from filing text: founded in 2016
Via Transportation (NYS: VIA),12-Sep-2025,IPO,"""New York, NY""",2012,operating_founding,Wikidata,MEDIUM,REVIEW,13.70,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=Via Transportation, Inc.; desc=real-time ridesharing company"
Vinpai (PAR: ALVIN),19-Jul-2023,IPO,"""Saint-Dolay, France""",2011-09-15,operating_founding,Wikidata,MEDIUM,REVIEW,11.84,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=france
Volta Charging,25-Aug-2021,Reverse Merger,"""San Francisco, CA""",2010,operating_founding,Wikidata,MEDIUM,REVIEW,11.65,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=Volta; desc=electric vehicle charging network
Wallapop,30-Jan-2026,Merger/Acquisition,"""Barcelona, Spain""",2013,operating_founding,Wikidata,MEDIUM,REVIEW,13.08,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=spain; desc=Platform for selling second-hand products over the internet
Wallbox (NYS: WBX),04-Oct-2021,Reverse Merger,"""Barcelona, Spain""",2015,operating_founding,SEC filing,LOW,SEC_MATCH,6.76,REVIEW,Needs manual basis review,Wallbox N.V.,https://www.sec.gov/Archives/edgar/data/1866501/000119312526328611/d100826df1.htm,Extracted from filing text: Founded in 2015
