company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,date_basis,source,confidence,score,status,wikidata_id,wikidata_label,notes
Officinae Bio,21-Feb-2025,Merger/Acquisition,"""Venice, Italy""",officinae bio,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OhmniLabs,12-Dec-2024,Merger/Acquisition,"""Milpitas, CA""",ohmnilabs,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Ojjo,20-Jun-2024,Merger/Acquisition,"""San Rafael, CA""",ojjo,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Okarito,16-May-2022,Merger/Acquisition,"""Montpellier, France""",okarito,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Olive & June,16-Dec-2024,Merger/Acquisition,"""Los Angeles, CA""",olive and june,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Olivia (Financial Software),03-Jan-2022,Merger/Acquisition,"""Plano, TX""",olivia (financial software),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Olyn (Media and Information Services),07-Apr-2022,Buyout/LBO,"""Paris, France""",olyn (media and information services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Omada (NAS: OMDA),06-Jun-2025,IPO,"""Dallas, TX""",omada,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Omega Therapeutics,30-Jul-2021,IPO,"""Cambridge, MA""",omega therapeutics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Omen Technologies,04-Nov-2021,Merger/Acquisition,"""Gothenburg, Sweden""",omen technologies,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
OmicEra Diagnostics,05-Nov-2022,Merger/Acquisition,"""Planegg, Germany""",omicera diagnostics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Omixon,16-Oct-2024,Merger/Acquisition,"""Budapest, Hungary""",omixon,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OmniAb (NAS: OABI),01-Nov-2022,Reverse Merger,"""Emeryville, CA""",omniab,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
OmniLife Health,11-Oct-2024,Merger/Acquisition,"""Beaverton, OR""",omnilife health,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Omniome,20-Sep-2021,Merger/Acquisition,"""San Diego, CA""",omniome,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Omnipresent,30-Sep-2025,Merger/Acquisition,"""London, United Kingdom""",omnipresent,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Omnivore,04-Mar-2022,Merger/Acquisition,"""Clearwater, FL""",omnivore,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
On Holding (Zurich) (NYS: ONON),15-Sep-2021,IPO,"""Zurich, Switzerland""",on (zurich),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OnApp,20-Jul-2021,Merger/Acquisition,"""London, United Kingdom""",onapp,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Once Dating,18-Jan-2021,Merger/Acquisition,"""Feusisberg, Switzerland""",once dating,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Oncoceutics,07-Jan-2021,Merger/Acquisition,"""Philadelphia, PA""",oncoceutics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Oncodisc,28-May-2021,Merger/Acquisition,"""Walnut Creek, CA""",oncodisc,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Oncogeni,16-Sep-2022,Merger/Acquisition,"""Stratford-Upon-Avon, United Kingdom""",oncogeni,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Onconetix (NAS: ONCO),18-Feb-2022,IPO,"""Cincinnati, OH""",onconetix,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Ondat,17-Mar-2023,Merger/Acquisition,"""London, United Kingdom""",ondat,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Ondot (Financial Software),22-Jan-2021,Merger/Acquisition,"""San Jose, CA""",ondot (financial software),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
One Codex,01-Feb-2021,Merger/Acquisition,"""Wilmington, DE""",one codex,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
One Medical (Clinics/Outpatient Services),22-Feb-2023,Merger/Acquisition,"""San Francisco, CA""",one medical (clinics/outpatient services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
One River Asset Management,03-Mar-2023,Merger/Acquisition,"""Stamford, CT""",one river asset management,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OneCloud,30-Jul-2021,Merger/Acquisition,"""New York, NY""",onecloud,2011-00-00,operating_founding,Wikidata,LOW,45,REVIEW,Q125734253,ONECLOUDFEST,hq=united states
OneFlow (STO: ONEF),08-Apr-2022,IPO,"""Stockholm, Sweden""",oneflow,,,Wikidata,NONE,0,NO_MATCH,Q15559366,Helianthella uniflora,hq=sweden; aliases=oneflower helianthella|Rocky Mountain helianthella; desc=species of plant
OneGraph,17-Nov-2021,Merger/Acquisition,"""Walnut, CA""",onegraph,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OneMedNet (NAS: ONMD),25-Apr-2022,Reverse Merger,"""Eden Prairie, MN""",onemednet,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
OneSpace,13-Sep-2021,Merger/Acquisition,"""Swansea, IL""",onespace,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
OneWelcome,01-Oct-2022,Merger/Acquisition,"""Amersfoort, Netherlands""",onewelcome,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OneWire,10-May-2021,Merger/Acquisition,"""New York, NY""",onewire,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Onfolio (NAS: ONFO),26-Aug-2022,IPO,"""Wilmington, DE""",onfolio,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
OnlineApplication,05-Aug-2025,Merger/Acquisition,"""Dublin, Ireland""",onlineapplication,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Onrego,01-Dec-2022,Merger/Acquisition,"""Espoo, Finland""",onrego,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Onum,10-Feb-2026,Merger/Acquisition,"""Madrid, Spain""",onum,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Onvis,05-Dec-2025,Merger/Acquisition,"""Houston, TX""",onvis,1998,operating_founding,Wikidata,LOW,45,REVIEW,Q2023611,onvista media GmbH,hq=united states
ONWARD Medical (BRU: ONWD),21-Oct-2021,IPO,"""Eindhoven, Netherlands""",onward medical,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Onyon,02-Jan-2023,Merger/Acquisition,"""Milan, Italy""",onyon,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Onyx (Information Services (B2C)),01-Jan-2021,Merger/Acquisition,"""San Francisco, CA""",onyx (information services (b2c)),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OODA AI (STO: OODA),21-Dec-2021,Reverse Merger,"""Stockholm, Sweden""",ooda ai,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
OODA Health,13-May-2021,Merger/Acquisition,"""San Francisco, CA""",ooda health,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Oosto,20-Jan-2025,Merger/Acquisition,"""New York, NY""",oosto,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
OpenExO,18-Mar-2024,Merger/Acquisition,"""Dover, DE""",openexo,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Openfinance (Financial Software),09-May-2021,Merger/Acquisition,"""Chicago, IL""",openfinance (financial software),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OpenGov,27-Feb-2024,Merger/Acquisition,"""San Francisco, CA""",opengov,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Openpath,15-Jul-2021,Merger/Acquisition,"""Culver City, CA""",openpath,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
OpenReel,18-Dec-2024,Merger/Acquisition,"""New York, NY""",openreel,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Oppilan Pharma,01-Feb-2021,Merger/Acquisition,"""Cambridge, United Kingdom""",oppilan pharma,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Opstrace,03-Dec-2021,Merger/Acquisition,"""San Francisco, CA""",opstrace,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Optinergy,30-Aug-2021,Merger/Acquisition,"""Stradone, Ireland""",optinergy,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Optodot,16-Jun-2022,Merger/Acquisition,"""Devens, MA""",optodot,2000,operating_founding,Wikidata,LOW,45,REVIEW,Q64142220,Optodot (United States),"hq=united states; desc=company in Devens, United States"
Optoro,19-Aug-2025,Merger/Acquisition,"""Washington, DC""",optoro,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Optoscribe,29-Jun-2021,Buyout/LBO,"""Livingston, United Kingdom""",optoscribe,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Opus Genetics (acquired in 2024)),22-Oct-2024,Merger/Acquisition,"""Durham, NC""",opus genetics (acquired in 2024)),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Opus One Solutions,21-Dec-2021,Merger/Acquisition,"""Richmond Hill, Canada""",opus one solutions,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Opyn (Specialized Finance),09-Sep-2025,Reverse Merger,"""Milan, Italy""",opyn (specialized finance),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Oqton,01-Nov-2021,Merger/Acquisition,"""Leuven, Belgium""",oqton,,,Wikidata,NONE,0,NO_MATCH,Q122808874,Oqtoʻnli maqbarasi,hq=belgium
Orb Health,21-Jan-2025,Merger/Acquisition,"""Frisco, TX""",orb health,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ORB Sport,01-Jul-2023,Merger/Acquisition,"""Irvine, CA""",orb sport,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Orbital Therapeutics,08-Dec-2025,Merger/Acquisition,"""Cambridge, MA""",orbital therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Orcadian Energy (LON: ORCA),15-Jul-2021,IPO,"""London, United Kingdom""",orcadian energy,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Orchard Therapeutics,24-Jan-2024,Merger/Acquisition,"""London, United Kingdom""",orchard therapeutics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Orchestra BioMed Holdings (NAS: OBIO),26-Jan-2023,Reverse Merger,"""New Hope, PA""",orchestra biomed,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
orderbird,12-May-2022,Merger/Acquisition,"""Berlin, Germany""",orderbird,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Orderhero (STO: HERO),21-Apr-2022,IPO,"""Stockholm, Sweden""",orderhero,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
OrderYOYO,02-Jul-2021,IPO,"""Copenhagen, Denmark""",orderyoyo,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Organic Basics,26-Jul-2022,Merger/Acquisition,"""Copenhagen, Denmark""",organic basics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Origimm,03-Dec-2021,Merger/Acquisition,"""Vienna, Austria""",origimm,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Origin Materials (NAS: ORGN),25-Jun-2021,Reverse Merger,"""West Sacramento, CA""",origin materials,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Ortelius International (STO: ORTIN),19-Jan-2021,IPO,"""Kungsbacka, Sweden""",ortelius international,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OS Therapies (ASE: OSTX),01-Aug-2024,IPO,"""New York, NY""",os therapies,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Oscar Health (NYS: OSCR),03-Mar-2021,IPO,"""New York, NY""",oscar health,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
OSD,18-May-2021,Merger/Acquisition,"""Martillac, France""",osd,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Osmosun (PAR: ALWTR),10-Jul-2023,IPO,"""Gellainville, France""",osmosun,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Othership (Other Commercial Services),18-Mar-2025,Merger/Acquisition,"""London, United Kingdom""",othership (other commercial services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Otherwise (Insurance Brokers),28-Sep-2021,Merger/Acquisition,"""Montreuil, France""",otherwise (insurance brokers),,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
OurLiving (Acquired),29-Nov-2021,Merger/Acquisition,"""Malmo, Sweden""",ourliving (acquired),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OutPlay,27-Mar-2025,Merger/Acquisition,"""Cedar Park, TX""",outplay,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Ovizio,22-Oct-2024,Merger/Acquisition,"""La Hulpe, Belgium""",ovizio,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Owasys,01-Jul-2021,Merger/Acquisition,"""Zamudio Bizkaia, Spain""",owasys,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Owatec,03-Apr-2024,Merger/Acquisition,"""Tupos, Finland""",owatec,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Owler,18-Jun-2021,Merger/Acquisition,"""San Mateo, CA""",owler,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Owlet Baby Care (NYS: OWLT),15-Jul-2021,Reverse Merger,"""Lehi, UT""",owlet baby care,,,Wikidata,NONE,20,NO_MATCH,Q140045351,"Owlet, Inc. (United States)","hq=united states; aliases=Owlet|Owlet Baby Care|Owlet Baby Care, Inc.; desc=company in Lehi, United States"
Own Company,18-Nov-2024,Merger/Acquisition,"""Englewood Cliffs, NJ""",own,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Oxford Immunotec,08-Mar-2021,Merger/Acquisition,"""Abingdon, United Kingdom""",oxford immunotec,2010-06,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q132103080,Oxford Immunotec Ltd,hq=united kingdom
Oxford Ionics,17-Sep-2025,Reverse Merger,"""Oxford, United Kingdom""",oxford ionics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Oxford Nanopore Technologies (LON: ONT),30-Sep-2021,IPO,"""Oxford, United Kingdom""",oxford nanopore technologies,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Oxio (Internet Service Providers),21-Feb-2023,Merger/Acquisition,"""Montreal, Canada""",oxio (internet service providers),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
OXLiD,29-Nov-2023,Merger/Acquisition,"""Oxford, United Kingdom""",oxlid,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
P2X Solutions,12-Apr-2024,Merger/Acquisition,"""Espoo, Finland""",p2x solutions,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Pacific Enterprise Bank,01-Feb-2022,Merger/Acquisition,"""Irvine, CA""",pacific enterprise bank,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pack Health,01-Feb-2022,Merger/Acquisition,"""Birmingham, AL""",pack health,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Package Concierge,17-Dec-2024,Merger/Acquisition,"""Manhattan, KS""",package concierge,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Packed Party,24-May-2024,Merger/Acquisition,"""Austin, TX""",packed party,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pagaya Technologies (NAS: PGY),23-Jun-2022,Reverse Merger,"""New York, NY""",pagaya technologies,2016-03-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q108837504,Pagaya technologies,hq=united states; aliases=Pagaya; desc=israeli-American technology company
Paige,22-Aug-2025,Merger/Acquisition,"""New York, NY""",paige,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Paintbox (Services (B2C Non-Financial)),16-Aug-2022,Merger/Acquisition,"""New York, NY""",paintbox (services (b2c non-financial)),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Palamedrix,31-Aug-2022,Merger/Acquisition,"""Encinitas, CA""",palamedrix,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Palette Life Sciences,10-Oct-2023,Merger/Acquisition,"""Stockholm, Sweden""",palette life sciences,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Palifer,16-Jun-2022,Merger/Acquisition,"""San Jose, CA""",palifer,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Palm Beach Royals,01-Aug-2025,Buyout/LBO,"""Weston, FL""",palm beach royals,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Palm NFT Studio,29-Jun-2023,Merger/Acquisition,"""Dover, DE""",palm nft studio,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Pamono,03-Aug-2021,Merger/Acquisition,"""Berlin, Germany""",pamono,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Pampadu,20-Oct-2021,Merger/Acquisition,"""Moscow, Russia""",pampadu,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Pana (Media and Information Services (B2B)),24-Feb-2021,Merger/Acquisition,"""Denver, CO""",pana (media and information services (b2b)),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pandion Therapeutics,01-Apr-2021,Merger/Acquisition,"""Watertown, MA""",pandion therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pandologic,14-Sep-2021,Merger/Acquisition,"""Irvine, CA""",pandologic,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
"""Pangea (Palo Alto, California)""",17-Sep-2025,Merger/Acquisition,"""Palo Alto, CA""",pangea (palo alto california),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pangea Money Transfer,19-Mar-2021,Merger/Acquisition,"""Chicago, IL""",pangea money transfer,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Panoramic Mediaco,01-Apr-2024,Merger/Acquisition,"""Los Angeles, CA""",panoramic mediaco,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PanTHERA CryoSolutions,04-Apr-2025,Merger/Acquisition,"""Edmonton, Canada""",panthera cryosolutions,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Panthronics,01-Jun-2023,Merger/Acquisition,"""Graz, Austria""",panthronics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Paperspace,05-Jul-2023,Merger/Acquisition,"""Brooklyn, NY""",paperspace,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Paradox,01-Oct-2025,Merger/Acquisition,"""Scottsdale, AZ""",paradox,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Paragon 28,15-Oct-2021,IPO,"""Englewood, CO""",paragon 28,2010,operating_founding,Wikidata,LOW,45,REVIEW,Q104481348,Paragon 28 (United States),"hq=united states; desc=company in Englewood, United States"
Paragon Data Labs,02-May-2023,Merger/Acquisition,"""Jersey City, NJ""",paragon data labs,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Paragonix,11-Sep-2024,Merger/Acquisition,"""North Waltham, MA""",paragonix,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ParaPRO,26-Jul-2024,Merger/Acquisition,"""Carmel, IN""",parapro,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Parcus Medical,07-Mar-2025,Merger/Acquisition,"""Sarasota, FL""",parcus medical,,,Wikidata,NONE,45,NO_MATCH,Q140588345,"Parcus Medical, LLC",hq=united states
Pardes Biosciences,27-Dec-2021,Reverse Merger,"""Carlsbad, CA""",pardes biosciences,,,Wikidata,NONE,70,NO_MATCH,Q140580209,"Pardes Biosciences, Inc.",hq=united states
Park Place Payments,25-Apr-2023,Merger/Acquisition,"""Woodland Hills, CA""",park place payments,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Parkwind,27-Jul-2023,Merger/Acquisition,"""Leuven, Belgium""",parkwind,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Parlem Telecom (MAD: PAR),23-Jun-2021,IPO,"""Barcelona, Spain""",parlem telecom,2014-07-00,operating_founding,Wikidata,LOW,45,REVIEW,Q19831035,Parlem,hq=spain; desc=telcom company
Parse Biosciences,01-Dec-2025,Merger/Acquisition,"""Seattle, WA""",parse biosciences,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Parsec Cloud,07-Sep-2021,Merger/Acquisition,"""New York, NY""",parsec cloud,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Parvis Invest (TSX: PVIS),03-Mar-2023,Reverse Merger,"""Vancouver, Canada""",parvis invest,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Pasithea Therapeutics (NAS: KTTA),15-Sep-2021,IPO,"""Miami Beach, FL""",pasithea therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Passage Identity,31-Oct-2022,Merger/Acquisition,"""Austin, TX""",passage identity,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PassFort,30-Nov-2021,Merger/Acquisition,"""London, United Kingdom""",passfort,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Passworks,13-Jan-2022,Merger/Acquisition,"""Lisbon, Portugal""",passworks,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pasta Evangelists,14-Jan-2021,Merger/Acquisition,"""London, United Kingdom""",pasta evangelists,,,Wikidata,NONE,45,NO_MATCH,Q136468043,Pasta Evangelists - Farringdon,hq=united kingdom
Patch Biosciences,26-Mar-2024,Merger/Acquisition,"""Albany, NY""",patch biosciences,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pathmotion,01-Nov-2021,Merger/Acquisition,"""Paris, France""",pathmotion,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PathologyWatch,08-Jan-2024,Merger/Acquisition,"""Salt Lake City, UT""",pathologywatch,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pathway Medical,29-Jul-2025,Merger/Acquisition,"""Montreal, Canada""",pathway medical,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Patina (Consulting Services),01-Apr-2022,Merger/Acquisition,"""Brookfield, WI""",patina (consulting services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PatternEx,13-Oct-2021,Merger/Acquisition,"""San Jose, CA""",patternex,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
PaulCamper,16-Oct-2022,Merger/Acquisition,"""Berlin, Germany""",paulcamper,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Paw Print Genetics,09-Dec-2021,Merger/Acquisition,"""Lincoln, NE""",paw print genetics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PayCertify,07-Jul-2021,Merger/Acquisition,"""Reno, NV""",paycertify,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PayComet,27-Feb-2023,Merger/Acquisition,"""Madrid, Spain""",paycomet,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PayGreen,06-Jun-2025,Merger/Acquisition,"""Paris, France""",paygreen,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Payix,29-Dec-2021,Merger/Acquisition,"""Bedford, TX""",payix,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Payoneer (NAS: PAYO),28-Jun-2021,Reverse Merger,"""New York, NY""",payoneer,2005-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q7156870,Payoneer,hq=united states; desc=American financial services company
Payrailz,31-Aug-2022,Merger/Acquisition,"""Glastonbury, CT""",payrailz,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Payrix,23-Dec-2021,Merger/Acquisition,"""Frisco, TX""",payrix,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PayU,01-Aug-2023,Merger/Acquisition,"""Amsterdam, Netherlands""",payu,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
PayVeris,01-Sep-2021,Merger/Acquisition,"""Cromwell, CT""",payveris,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Payzer,26-Oct-2023,Merger/Acquisition,"""Charlotte, NC""",payzer,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Peace of Meat,10-Feb-2021,Merger/Acquisition,"""Destelbergen, Belgium""",peace of meat,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Peak,07-Mar-2025,Merger/Acquisition,"""Manchester, United Kingdom""",peak,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Peak Brain Training,18-Mar-2021,Merger/Acquisition,"""London, United Kingdom""",peak brain training,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Peakon,09-Mar-2021,Merger/Acquisition,"""Copenhagen, Denmark""",peakon,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Pear Therapeutics,03-Dec-2021,Reverse Merger,"""Boston, MA""",pear therapeutics,2013,operating_founding,Wikidata,LOW,45,REVIEW,Q41568575,Pear Therapeutics (United States),"hq=united states; desc=company in Boston, United States"
Peerboard,03-Apr-2023,Merger/Acquisition,"""Wilmington, DE""",peerboard,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
PEKAT VISION,21-Mar-2022,Merger/Acquisition,"""Brno, Czech Republic""",pekat vision,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Peltarion,13-Jun-2022,Merger/Acquisition,"""Stockholm, Sweden""",peltarion,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Pensando,26-May-2022,Merger/Acquisition,"""Milpitas, CA""",pensando,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
PensionBee Group (LON: PBEE),21-Apr-2021,IPO,"""London, United Kingdom""",pensionbee,2014-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q115167327,PENSIONBEE GROUP PLC,hq=united kingdom; desc=UK business
Penta Fintech,03-Jul-2022,Merger/Acquisition,"""Berlin, Germany""",penta fintech,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Pentavere,01-Dec-2023,Merger/Acquisition,"""Toronto, Canada""",pentavere,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Pentixapharm Holding (FRA: PTP),16-Apr-2021,Merger/Acquisition,"""Wurzburg, Germany""",pentixapharm,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Pento,13-Feb-2024,Merger/Acquisition,"""London, United Kingdom""",pento,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
