company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
APEIRON Biologics,15-Jul-2024,Merger/Acquisition,"""Vienna, Austria""",apeiron biologics,2003,Wikidata,LOW,45,REVIEW,Q104479929,Apeiron Biologics (Austria),"hq=austria; desc=company in Vienna, Austria"
Apexigen,23-Aug-2023,Merger/Acquisition,"""San Carlos, CA""",apexigen,2010,Wikidata,LOW,45,REVIEW,Q108737139,Apexigen (United States),"hq=united states; desc=company in San Carlos, United States"
APIOS,05-Jan-2021,Merger/Acquisition,"""Zagreb, Croatia""",apios,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q2537603|Q264157|Q4779864|Q10415730|Q4779866.json
Apogee Therapeutics (NAS: APGE),13-Jul-2023,IPO,"""Waltham, MA""",apogee therapeutics,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Apolicy,01-Jul-2021,Merger/Acquisition,"""Sunnyvale, CA""",apolicy,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Apollo Endosurgery,04-Apr-2023,Merger/Acquisition,"""Austin, TX""",apollo endosurgery,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q50039483|Q132099740.json
Apollo Fusion,01-Jul-2021,Merger/Acquisition,"""Mountain View, CA""",apollo fusion,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Apollomics (NAS: APLM),26-Mar-2023,Reverse Merger,"""Foster City, CA""",apollomics,2016,Wikidata,LOW,45,REVIEW,Q108737121,Apollomics (United States),"hq=united states; desc=company in Foster City, United States"
apoplex medical technologies,05-Nov-2024,Merger/Acquisition,"""Pirmasens, Germany""",apoplex medical technologies,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Apostrophe,02-Jul-2021,Merger/Acquisition,"""Oakland, CA""",apostrophe,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q436048|Q620510|Q87495831|Q17085299|Q73391929.json
ApParkingSpot,06-May-2022,Merger/Acquisition,"""Stockholm, Sweden""",apparkingspot,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Appear (Hardware) (OSL: APR),06-Nov-2025,IPO,"""Oslo, Norway""",appear (hardware),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Appetize,16-Sep-2021,Merger/Acquisition,"""Los Angeles, CA""",appetize,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q1628963|Q4781056|Q4781059|Q4781061|Q16961762.json
AppHarvest,29-Jan-2021,Reverse Merger,"""Morehead, KY""",appharvest,,Wikidata,NONE,90,NO_MATCH,Q106768814,AppHarvest,hq=united states; aliases=Appharvest; desc=American food production company
Applica,23-Sep-2022,Merger/Acquisition,"""Warsaw, Poland""",applica,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q42332|Q165194|Q618536|Q166142|Q13430279.json
Applied BioMath,12-Dec-2023,Merger/Acquisition,"""Concord, MA""",applied biomath,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q23091386|Q61934400.json
Applied Graphene,28-Mar-2023,Merger/Acquisition,"""Redcar, United Kingdom""",applied graphene,2010,Wikidata,LOW,45,REVIEW,Q59536443,Applied Graphene Materials,"hq=united kingdom; aliases=Durham Graphene Science; desc=company in Redcar, United Kingdom"
