company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Integrity Orthopaedics,13-Jan-2026,Merger/Acquisition,"""Maple Plain, MN""",integrity orthopaedics,,Wikidata,NONE,70,NO_MATCH,Q138638007,"Integrity Orthopaedics, Inc.",hq=united states
InteliWISE,01-Jul-2022,Merger/Acquisition,"""Warsaw, Poland""",inteliwise,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Intelligence Node,24-Dec-2024,Merger/Acquisition,"""San Francisco, CA""",intelligence node,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Intelligent Fingerprinting,04-Oct-2022,Merger/Acquisition,"""Cambridge, United Kingdom""",intelligent fingerprinting,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q30295220|Q83366708.json
Intelligent Observation,07-Aug-2025,Merger/Acquisition,"""Miami, FL""",intelligent observation,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Intelligent Ultrasound,18-Jul-2024,Merger/Acquisition,"""Abingdon, United Kingdom""",intelligent ultrasound,,Wikidata,NONE,45,NO_MATCH,Q129400142,Intelligent Ultrasound Imaging for Enhanced Breast Cancer Diagnosis: Ensemble Transfer Learning Strategies,hq=united kingdom; desc=scholarly article
Intellimedia Networks,29-Apr-2022,Merger/Acquisition,"""Cerritos, CA""",intellimedia networks,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Intello (Business/Productivity Software),22-Feb-2021,Merger/Acquisition,"""New York, NY""",intello (business/productivity software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Interactions,09-Sep-2025,Merger/Acquisition,"""Franklin, MA""",interactions,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q4650721|Q15816932|Q6045219|Q110704021|Q114813556.json
Intercept Pharmaceuticals,08-Nov-2023,Merger/Acquisition,"""Morristown, NJ""",intercept pharmaceuticals,2002-00-00,Wikidata,MEDIUM,70,REVIEW,Q16997126,Intercept Pharmaceuticals,hq=united states; desc=American biopharmaceutical company
Intersect ENT,13-May-2022,Merger/Acquisition,"""Menlo Park, CA""",intersect ent,2003-00-00,Wikidata,MEDIUM,70,REVIEW,Q16997218,Intersect ENT,"hq=united states; desc=health care equipment company, subsidiary of Medtronic"
