company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Gambit (Entertainment Software),22-Feb-2022,Merger/Acquisition,"""Westmount, Canada""",gambit (entertainment software),,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gambit+%28Entertainment+Software%29
Gambling.com Group (NAS: GAMB),23-Jul-2021,IPO,"""Saint Helier, United Kingdom""",gamblingcom,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gambling.com+Group
Gamelancer (Acquired),13-Apr-2022,Merger/Acquisition,"""West Hollywood, CA""",gamelancer (acquired),,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gamelancer+%28Acquired%29
GamePlanner,14-Nov-2023,Merger/Acquisition,CA,gameplanner,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=GamePlanner
GamerSpeak,01-Aug-2021,Merger/Acquisition,"""San Luis Obispo, CA""",gamerspeak,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=GamerSpeak
Gamesys,01-Oct-2021,Merger/Acquisition,"""London, United Kingdom""",gamesys,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gamesys
Gaming Technologies,02-Mar-2021,IPO,"""Las Vegas, NV""",gaming technologies,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gaming+Technologies
Gamma Labs,02-Mar-2021,Merger/Acquisition,"""Rossendale, United Kingdom""",gamma labs,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gamma+Labs
Gamma.AI,11-Aug-2021,Merger/Acquisition,"""Sunnyvale, CA""",gammaai,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Gamma.AI
GaN Systems,24-Oct-2023,Merger/Acquisition,"""Ottawa, Canada""",gan systems,,Wikidata,ERROR,0,ERROR,,,fetch failed
