company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Brigit,31-Jan-2025,Merger/Acquisition,"""New York, NY""",brigit,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q18175370|Q18145781|Q36268|Q18190928|Q114094698.json
Broadpeak (PAR: ALBPK),13-Jun-2022,IPO,"""Cesson Sevigne, France""",broadpeak,,Wikidata,NONE,45,NO_MATCH,Q51278941,BroadPeak: a novel algorithm for identifying broad peaks in diffuse ChIP-seq datasets.,hq=france; desc=scientific article published on 7 January 2013
Brumbrum,31-Jan-2022,Merger/Acquisition,"""Milan, Italy""",brumbrum,,Wikidata,NONE,45,NO_MATCH,Q31571673,Brumbrumkonko,hq=italy; desc=mountain in Sierra Leone
Br�ush (PINX: BRSHF),04-Aug-2022,IPO,"""Vancouver, Canada""",br�ush,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
BTQ Technologies (NEOE: BTQ),17-Feb-2023,Reverse Merger,"""Vancouver, Canada""",btq technologies,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
BUA FIT,10-Sep-2022,Merger/Acquisition,"""London, United Kingdom""",bua fit,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bubty,27-Jun-2025,Merger/Acquisition,"""The Hague, Netherlands""",bubty,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Buda Juice (ASE: BUDA),08-Jan-2026,IPO,"""Dallas, TX""",buda juice,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bug Capture,11-Jun-2024,Merger/Acquisition,"""Berlin, Germany""",bug capture,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Build.Security,02-Sep-2021,Merger/Acquisition,"""Sunnyvale, CA""",buildsecurity,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bulb Technologies,09-Feb-2021,Merger/Acquisition,"""Zagreb, Croatia""",bulb technologies,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bullet Solutions,01-Jul-2024,Merger/Acquisition,"""Porto, Portugal""",bullet solutions,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bulletin,11-Jul-2022,Merger/Acquisition,"""Oyster Bay, NY""",bulletin,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q11605103|Q2720088|Q88163834|Q4996846|Q13548538.json
BullFrog AI (NAS: BFRG),14-Feb-2023,IPO,"""Gaithersburg, MD""",bullfrog ai,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bullfrog Power,30-Nov-2022,Merger/Acquisition,"""Calgary, Canada""",bullfrog power,2005-00-00,Wikidata,MEDIUM,70,REVIEW,Q4996889,Bullfrog Power,hq=canada; desc=Canadian renewable energy company
Bumble (NAS: BMBL),11-Feb-2021,IPO,"""Austin, TX""",bumble,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q25407|Q21233433|Q358842|Q63522145|Q65083765.json
Bumblebee (Energy Infrastructure),03-May-2023,Merger/Acquisition,"""Glasgow, United Kingdom""",bumblebee (energy infrastructure),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Bumped,08-Feb-2023,Merger/Acquisition,"""Portland, OR""",bumped,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q4997319|Q134560315|Q2205365|Q33797884|Q38886453.json
Business Talent Group,01-Apr-2021,Merger/Acquisition,"""Chicago, IL""",business talent,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Business+Talent+Group
Busuu,29-Nov-2021,Merger/Acquisition,"""London, United Kingdom""",busuu,,Wikidata,ERROR,0,ERROR,,,HTTP 429 for https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&type=item&limit=5&search=Busuu
