company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
AVAX One Technology (NAS: AVX),08-Jul-2021,IPO,"""Vancouver, Canada""",avax one technology,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
AVEO Oncology,19-Jan-2023,Merger/Acquisition,"""Boston, MA""",aveo oncology,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Avinode,22-Mar-2024,Merger/Acquisition,"""Gothenburg, Sweden""",avinode,2002,Wikidata,MEDIUM,70,REVIEW,Q60749883,Avinode Group,hq=sweden
Avitide,30-Sep-2021,Merger/Acquisition,"""Lebanon, NH""",avitide,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Aviva Links,24-Oct-2025,Merger/Acquisition,"""San Jose, CA""",aviva links,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Aviwest,01-Apr-2022,Merger/Acquisition,"""Saint Gr�goire Cedex, France""",aviwest,2008-09-24,Wikidata,MEDIUM,70,REVIEW,Q131634686,Aviwest,hq=france
Awakn Life Sciences,27-May-2025,Merger/Acquisition,"""Toronto, Canada""",awakn life sciences,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Awashop,05-May-2022,Merger/Acquisition,"""Montpellier, France""",awashop,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Axign,03-Jan-2024,Merger/Acquisition,"""Enschede, Netherlands""",axign,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Axil (Acquired / merged),16-Jun-2022,Merger/Acquisition,"""American Fork, UT""",axil (acquired / merged),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Axios,08-Aug-2022,Merger/Acquisition,"""Arlington, VA""",axios,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q189596|Q28230873|Q4830576|Q95960982|Q83645807.json
Axis Security,15-Mar-2023,Merger/Acquisition,"""Plano, TX""",axis security,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Axon Clinic,04-Oct-2021,Merger/Acquisition,"""Oslo, Norway""",axon clinic,,Wikidata,NONE,45,NO_MATCH,Q67904802,Axon clinical chemistry analyzer evaluated according to ECCLS protocol,hq=norway; desc=scientific article published on 01 October 1992
Axonics,15-Nov-2024,Merger/Acquisition,"""Irvine, CA""",axonics,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q104480010|Q63572440|Q113932533.json
Azerion Group (AMS: AZRN),02-Feb-2022,Reverse Merger,"""Amsterdam, Netherlands""",azerion,2013-00-00,Wikidata,HIGH,90,LIKELY_MATCH,Q71060894,Azerion,hq=netherlands; aliases=Azerion Group N.V.|OrangeGames; desc=Dutch video game company
Azimo,04-Apr-2022,Merger/Acquisition,"""London, United Kingdom""",azimo,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q37140962|Q25160373|Q16479712|Q53771908|Q60169298.json
Azitra (ASE: AZTR),15-Jun-2023,IPO,"""Branford, CT""",azitra,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
