company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
HeleCloud,23-Sep-2021,Merger/Acquisition,"""London, United Kingdom""",helecloud,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Helio (Financial Software),09-Jan-2025,Merger/Acquisition,"""London, United Kingdom""",helio (financial software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Heliogen,30-Dec-2021,Reverse Merger,"""Pasadena, CA""",heliogen,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q420695|Q62628552|Q126605742|Q110421768|Q72263921.json
HelioHeat,01-Sep-2021,Merger/Acquisition,"""Offenburg, Germany""",helioheat,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
HelloAva,01-Mar-2023,Merger/Acquisition,"""New York, NY""",helloava,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Helpshift,15-Dec-2022,Merger/Acquisition,"""Keller, TX""",helpshift,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Helyx Industries (MIL: HLX),06-Aug-2021,IPO,"""Udine, Italy""",helyx industries,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hemovent,13-Oct-2021,Merger/Acquisition,"""Aachen, Germany""",hemovent,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hempalta (TSX: HEMP),19-Mar-2024,Reverse Merger,"""Calgary, Canada""",hempalta,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
HempFusion,06-Jan-2021,IPO,"""Denver, CO""",hempfusion,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
HemPoland,06-Sep-2022,Merger/Acquisition,"""Elblag, Poland""",hempoland,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hents_,01-Feb-2021,Merger/Acquisition,"""London, United Kingdom""",hents_,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hepatic Cell Therapy Support,01-Apr-2021,Merger/Acquisition,"""Charleroi, Belgium""",hepatic cell therapy support,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hera Systems,30-Aug-2024,Merger/Acquisition,"""San Jose, CA""",hera systems,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hero Towers,09-Jul-2021,Merger/Acquisition,"""London, United Kingdom""",hero towers,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hertz Energy (CNQ: HZ),10-Apr-2023,IPO,"""Vancouver, Canada""",hertz energy,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Herv� (Food Products),18-Mar-2022,Merger/Acquisition,"""Toronto, Canada""",herv� (food products),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Heuritech,25-Oct-2024,Merger/Acquisition,"""Paris, France""",heuritech,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Hexas Biomass,08-Dec-2025,Merger/Acquisition,"""Olympia, WA""",hexas biomass,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
