company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Chalk (Canada),02-May-2022,Merger/Acquisition,"""Kitchener, Canada""",chalk (canada),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Champion Health,06-May-2022,Merger/Acquisition,"""Sheffield, United Kingdom""",champion health,,Wikidata,NONE,45,NO_MATCH,Q74747424,Champion Healthcare to buy 13 hospitals from Humana,hq=united kingdom; desc=scientific article published on 01 July 1992
Champion Health (Sweden),30-Sep-2021,Merger/Acquisition,"""Bastad, Sweden""",champion health (sweden),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Chargeback (Salt Lake City),01-Nov-2021,Merger/Acquisition,"""Salt Lake City, UT""",chargeback (salt lake city),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ChargePoint (NYS: CHPT),26-Feb-2021,Reverse Merger,"""Campbell, CA""",chargepoint,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q5176149|Q127690382|Q119727023|Q132737828|Q131890890.json
Chartio,26-Feb-2021,Merger/Acquisition,"""San Francisco, CA""",chartio,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Checkin.com Group (STO: CHECK),20-May-2021,IPO,"""Stockholm, Sweden""",checkincom,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Checkmate Pharmaceuticals,31-May-2022,Merger/Acquisition,"""Cambridge, MA""",checkmate pharmaceuticals,2015-00-00,Wikidata,MEDIUM,70,REVIEW,Q113503545,Checkmate Pharmaceuticals,hq=united states; desc=biopharmaceutical company
Checkme,15-Jul-2024,Merger/Acquisition,"""Moscow, Russia""",checkme,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Checkmyguest,29-Jul-2024,Merger/Acquisition,"""Paris, France""",checkmyguest,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Checkout Charlie,18-Jul-2025,Merger/Acquisition,"""Berlin, Germany""",checkout charlie,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cheelcare,07-Jul-2025,Reverse Merger,"""Markham, Canada""",cheelcare,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ChemIntelligence,28-Jun-2022,Merger/Acquisition,"""Lyon, France""",chemintelligence,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
CHEQ (Kirkland),01-Feb-2024,Merger/Acquisition,"""Kirkland, WA""",cheq (kirkland),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cherry Xtrfy,14-Dec-2022,Merger/Acquisition,"""Landskrona, Sweden""",cherry xtrfy,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Chevron Renewable Energy Group,13-Jun-2022,Merger/Acquisition,"""Ames, IA""",chevron renewable energy,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Childs Farm,21-Mar-2022,Merger/Acquisition,"""Basingstoke, United Kingdom""",childs farm,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q26670419|Q26531739.json
Chime Financial (NAS: CHYM),11-Jun-2025,IPO,"""San Francisco, CA""",chime financial,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
