company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
&ever,01-Oct-2021,Merger/Acquisition,"""Munich, Germany""",and ever,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
1606 (PINX: CBDW),12-Jan-2023,IPO,"""Phoenix, AZ""",1606,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q12681517|Q6747|Q583622|Q3597608|Q1481053.json
21seeds,31-Mar-2022,Merger/Acquisition,"""San Francisco, CA""",21seeds,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
24Storage,20-Dec-2021,Merger/Acquisition,"""Stockholm, Sweden""",24storage,,Wikidata,NONE,70,NO_MATCH,Q60967916,24Storage,hq=sweden
2600Hz,20-Oct-2023,Merger/Acquisition,"""Henderson, NV""",2600hz,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
2nd.MD,02-Mar-2021,Merger/Acquisition,"""Houston, TX""",2ndmd,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
"""300 (Movies, Music and Entertainment)""",16-Dec-2021,Merger/Acquisition,"""New York, NY""",300 (movies music and entertainment),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
360X,29-Apr-2021,Merger/Acquisition,"""Frankfurt, Germany""",360x,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
365Talents,20-Jan-2026,Merger/Acquisition,"""Lyon, France""",365talents,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
3a-Diagnostics,06-Dec-2021,Merger/Acquisition,"""Frickenhausen, Germany""",3a-diagnostics,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
3DEO,12-Nov-2025,Merger/Acquisition,"""Belfast, United Kingdom""",3deo,,Wikidata,NONE,45,NO_MATCH,Q104193318,3deoxyadenosine,hq=united kingdom; desc=group of stereoisomers with the chemical formula C₁₀H₁₃N₅O₃
3iQ,23-Apr-2024,Merger/Acquisition,"""Toronto, Canada""",3iq,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
3radical,03-May-2024,Merger/Acquisition,"""Bristol, United Kingdom""",3radical,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
401kplans.com,31-May-2022,Merger/Acquisition,"""Naples, FL""",401kplanscom,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
42matters,01-Jul-2024,Merger/Acquisition,"""Zurich, Switzerland""",42matters,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
4U By Tia,02-Dec-2023,Merger/Acquisition,"""Emeryville, CA""",4u by tia,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
5th Planet Games (OSL: 5PG),23-Sep-2021,Merger/Acquisition,"""Copenhagen, Denmark""",5th planet games,,Wikidata,NONE,45,NO_MATCH,Q115167217,5TH PLANET GAMES A/S,hq=denmark
60 Degrees Pharma (NAS: SXTP),13-Jul-2023,IPO,"""Washington, DC""",60 degrees pharma,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
7D Surgical,20-May-2021,Merger/Acquisition,"""Toronto, Canada""",7d surgical,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
8 Rivers,07-Mar-2023,Merger/Acquisition,"""Durham, NC""",8 rivers,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q30297129|Q26896247|Q126704828.json
89bio,30-Oct-2025,Merger/Acquisition,"""San Francisco, CA""",89bio,2018-01-00,Wikidata,MEDIUM,70,REVIEW,Q136365899,89bio,hq=united states
98point6,04-Apr-2023,Merger/Acquisition,"""Seattle, WA""",98point6,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Aardvark Therapeutics (NAS: AARD),13-Feb-2025,IPO,"""San Diego, CA""",aardvark therapeutics,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
