company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Giphy,23-Jun-2023,Merger/Acquisition,"""New York, NY""",giphy,2013-10-00,Wikidata,MEDIUM,70,REVIEW,Q17054335,Giphy,hq=united states; aliases=giphy.com; desc=website hosting animated GIFs
GitLab (NAS: GTLB),14-Oct-2021,IPO,"""San Francisco, CA""",gitlab,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q16639197|Q25973915|Q98731925|Q55589254|Q135492755.json
Glass House Group (NEOE: GLAS.A.U),29-Jun-2021,Reverse Merger,"""Long Beach, CA""",glass house,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Gl_d (Rail),24-Oct-2022,Merger/Acquisition,"""Riverside, CA""",gl_d (rail),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Glide Health,15-Feb-2023,Merger/Acquisition,"""Palo Alto, CA""",glide health,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Glitch (Software Development Applications),09-May-2022,Merger/Acquisition,"""New York, NY""",glitch (software development applications),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Global Blood Therapeutics,05-Oct-2022,Merger/Acquisition,"""South San Francisco, CA""",global blood therapeutics,2012,Wikidata,LOW,45,REVIEW,Q30287310,Global Blood Therapeutics (United States),"hq=united states; desc=company in South San Francisco, United States"
Global Training Aviation,05-Feb-2023,Merger/Acquisition,"""Madrid, Spain""",global training aviation,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Globe (Business/Productivity Software),30-Jun-2021,Merger/Acquisition,"""Madrid, Spain""",globe (business/productivity software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Gloo Holdings (NAS: GLOO),18-Nov-2025,IPO,"""Boulder, CO""",gloo,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Glovo,04-Jan-2022,Merger/Acquisition,"""Barcelona, Spain""",glovo,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q30899488|Q131892124|Q57951866.json
Glow Technologies,12-Apr-2021,Merger/Acquisition,"""Pittsburgh, PA""",glow technologies,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Glu Mobile,29-Apr-2021,Merger/Acquisition,"""San Francisco, CA""",glu mobile,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q2450081|Q114712963.json
Glycotope,03-Jul-2024,Merger/Acquisition,"""Berlin, Germany""",glycotope,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q30268993|Q33471849|Q35842380|Q38334857.json
Glympse Bio.,09-Aug-2023,Merger/Acquisition,"""Cambridge, MA""",glympse bio,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Godsinl�sen Nordic,07-Jul-2021,IPO,"""Staffanstorp, Sweden""",godsinl�sen nordic,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
