company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Clearbridge BioPhotonics,20-Apr-2021,Merger/Acquisition,"""Pasadena, CA""",clearbridge biophotonics,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cleared,18-Jan-2022,Merger/Acquisition,"""New York, NY""",cleared,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q130481571|Q138005324|Q18559282|Q867905|Q107616374.json
Clearpath Robotics,02-Oct-2023,Merger/Acquisition,"""Kitchener, Canada""",clearpath robotics,2009,Wikidata,MEDIUM,65,REVIEW,Q30283026,Clearpath Robotics (Canada),"hq=canada; aliases=Clearpath Robotics; desc=company in Kitchener, Canada"
ClearQuery,18-Sep-2024,Merger/Acquisition,"""McLean, VA""",clearquery,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clementine (Enterprise Systems (Healthcare)),01-Jun-2021,Merger/Acquisition,"""Maastricht, Netherlands""",clementine (enterprise systems (healthcare)),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clever (Educational Software),06-May-2021,Merger/Acquisition,"""San Francisco, CA""",clever (educational software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clevon,28-Jun-2022,IPO,"""Viljandi, Estonia""",clevon,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q116629987|Q100761650|Q5132342.json
ClickSWITCH,01-Apr-2021,Merger/Acquisition,"""Minneapolis, MN""",clickswitch,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Climb Bio (NAS: CLYM),10-Aug-2021,IPO,"""Wellesley Hills, MA""",climb bio,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cling,01-Nov-2022,Merger/Acquisition,"""Stockholm, Sweden""",cling,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q37564709|Q64403342|Q21494251|Q37441138|Q37127742.json
Clinigence Health,01-Apr-2022,Merger/Acquisition,"""Fort Lauderdale, FL""",clinigence health,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clinpal,12-Oct-2022,Merger/Acquisition,"""Stirling, United Kingdom""",clinpal,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clio Draft,08-Sep-2021,Merger/Acquisition,"""San Francisco, CA""",clio draft,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clique Brands,15-Jun-2022,Merger/Acquisition,"""West Hollywood, CA""",clique brands,,Wikidata,NONE,70,NO_MATCH,Q56063628,Clique Brands,hq=united states; aliases=Clique Media Group
CLMBR,02-Feb-2024,Merger/Acquisition,"""Denver, CO""",clmbr,,Wikidata,NONE,45,NO_MATCH,Q136718019,"CLMBR1, LLC","hq=united states; aliases=CLMBR1, LLC.  (Denver, CO)"
Cloud Fastpath,16-Feb-2021,Merger/Acquisition,"""Boston, MA""",cloud fastpath,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cloudastructure (NAS: CSAI),01-Apr-2025,IPO,"""Palo Alto, CA""",cloudastructure,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cloudbreak Pharmaceutical (HKG: 02592),03-Jul-2025,IPO,"""Irvine, CA""",cloudbreak pharmaceutical,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
CloudCheckr,05-Nov-2021,Merger/Acquisition,"""Rochester, NY""",cloudcheckr,,Wikidata,NONE,70,NO_MATCH,Q117022104,CloudCheckr,hq=united states
CloudRail,31-Aug-2023,Merger/Acquisition,"""Mannheim, Germany""",cloudrail,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
CloudSnap,18-Jan-2022,Merger/Acquisition,"""Austin, TX""",cloudsnap,2011-00-00,Wikidata,MEDIUM,70,REVIEW,Q5135617,CloudSNAP,hq=united states; desc=cloud computing platform
Cloudvirga,25-May-2021,Merger/Acquisition,"""Irvine, CA""",cloudvirga,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cloudways,01-Sep-2022,Merger/Acquisition,"""Saint Julians, Malta""",cloudways,,Wikidata,NONE,70,NO_MATCH,Q135003129,Cloudways,hq=malta; desc=cloud hosting platform
Clover Health Investments (NAS: CLOV),07-Jan-2021,Reverse Merger,"""Franklin, TN""",clover health investments,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ClubSpark,18-Mar-2021,Buyout/LBO,"""London, United Kingdom""",clubspark,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Clumio,01-Oct-2024,Merger/Acquisition,"""Santa Clara, CA""",clumio,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cluno,21-Feb-2021,Merger/Acquisition,"""Munich, Germany""",cluno,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q96153625|Q18700|Q13107952|Q965369|Q18000303.json
Clutter,29-Jun-2023,Merger/Acquisition,"""Culver City, CA""",clutter,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q37443895|Q16865644|Q641585|Q653468|Q111508632.json
Cmd (Network Management Software),25-Aug-2021,Merger/Acquisition,"""Vancouver, Canada""",cmd (network management software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Coastal (Internet Retail),05-Oct-2021,Merger/Acquisition,"""Santa Barbara, CA""",coastal (internet retail),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Coastal Bank & Trust,09-Apr-2024,Merger/Acquisition,"""Jacksonville, NC""",coastal bank and trust,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cobalt Software,12-Oct-2021,Merger/Acquisition,"""Boston, MA""",cobalt software,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cobase,01-Dec-2023,Merger/Acquisition,"""Amsterdam, Netherlands""",cobase,,Wikidata,NONE,0,NO_MATCH,Q4712928,Cobășel River,hq=netherlands; desc=river in Romania
CODA (Electronic Equipment and Instruments),15-Oct-2024,Merger/Acquisition,"""Derby, United Kingdom""",coda (electronic equipment and instruments),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Codecademy,04-Apr-2022,Merger/Acquisition,"""New York, NY""",codecademy,2011-00-00,Wikidata,HIGH,90,LIKELY_MATCH,Q2154085,Codecademy,"hq=united states; aliases=codecademy.com|Codecademy, Inc.; desc=online code-learning platform"
Codeplay,01-Jun-2022,Merger/Acquisition,"""Edinburgh, United Kingdom""",codeplay,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q5140158|Q126355772.json
CodeStream,01-Oct-2021,Merger/Acquisition,"""San Francisco, CA""",codestream,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Coding Dojo,01-Dec-2022,Merger/Acquisition,"""Colorado Springs, CO""",coding dojo,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q2981693|Q56135377.json
CoEdition,28-Dec-2021,Merger/Acquisition,"""New York, NY""",coedition,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cognigy,07-Sep-2025,Merger/Acquisition,"""Dusseldorf, Germany""",cognigy,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cognition Therapeutics (NAS: CGTX),08-Oct-2021,IPO,"""New York, NY""",cognition therapeutics,2007,Wikidata,LOW,45,REVIEW,Q30287217,Cognition Therapeutics (United States),"hq=united states; desc=company in Pittsburgh, United States"
CognitiveScale,13-Dec-2022,Merger/Acquisition,"""Austin, TX""",cognitivescale,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Cognito (Network Management Software),20-Jan-2022,Merger/Acquisition,"""Walnut, CA""",cognito (network management software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
