company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Finaro,26-Oct-2023,Merger/Acquisition,"""Valletta, Malta""",finaro,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q25305477|Q101015592|Q56547132.json
Finax,12-Dec-2025,IPO,"""Bratislava, Slovakia""",finax,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q10397888|Q96136571|Q424167|Q160054|Q131647034.json
FinCompare,13-Dec-2021,Merger/Acquisition,"""Berlin, Germany""",fincompare,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Fincura (Financial Software),07-Dec-2021,Merger/Acquisition,"""Boston, MA""",fincura (financial software),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Findify,19-Apr-2022,Merger/Acquisition,"""Stockholm, Sweden""",findify,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Finexity (MUN: FXT),05-Sep-2025,IPO,"""Hamburg, Germany""",finexity,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Finomial,18-Oct-2021,Merger/Acquisition,"""Boston, MA""",finomial,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Finxact,01-Apr-2022,Merger/Acquisition,"""Jacksonville, FL""",finxact,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Fire Sky Energy,01-Nov-2021,Merger/Acquisition,"""Estevan, Canada""",fire sky energy,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Firefly Aerospace (NAS: FLY),07-Aug-2025,IPO,"""Cedar Park, TX""",firefly aerospace,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q17492679|Q111207569.json
First Light Imaging,09-Jan-2024,Merger/Acquisition,"""Meyreuil, France""",first light imaging,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q47530590|Q131636104.json
FiSpoke,05-Jun-2024,Merger/Acquisition,"""Wellesley, MA""",fispoke,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Fit Analytics,17-Mar-2021,Merger/Acquisition,"""Berlin, Germany""",fit analytics,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Fit-Up,04-Jun-2021,Merger/Acquisition,"""Linz, Austria""",fit-up,,Wikidata,NONE,70,NO_MATCH,Q96378003,Fit-up,hq=austria; desc=style of theatre
Fitbit,14-Jan-2021,Merger/Acquisition,"""San Francisco, CA""",fitbit,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q5455414|Q63676444|Q25907392|Q52153406|Q52153380.json
FitWell,29-May-2021,Merger/Acquisition,"""London, United Kingdom""",fitwell,2014-04-04,Wikidata,MEDIUM,70,REVIEW,Q28403905,FitWell,hq=united kingdom
Five Stars Loyalty,13-Oct-2021,Merger/Acquisition,"""San Francisco, CA""",five stars loyalty,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
FivePrime Therapeutics,16-Apr-2021,Merger/Acquisition,"""South San Francisco, CA""",fiveprime therapeutics,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flame Biosciences,17-Jan-2023,Merger/Acquisition,"""New Hope, PA""",flame biosciences,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flare (Liverpool),09-Jan-2024,Merger/Acquisition,"""Liverpool, United Kingdom""",flare (liverpool),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flaschenpost,01-Jul-2021,Merger/Acquisition,"""Munster, Germany""",flaschenpost,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q99348894|Q32859615|Q105451638|Q23529|Q897951.json
Flashgap,31-Jan-2022,Merger/Acquisition,"""Paris, France""",flashgap,,Wikidata,NONE,70,NO_MATCH,Q137860976,FLASHGAP,hq=france
Fleet Mortgages,26-Jul-2021,Merger/Acquisition,"""Fleet, United Kingdom""",fleet mortgages,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flewber,03-Mar-2025,Merger/Acquisition,"""New York, NY""",flewber,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flexion Therapeutics,19-Nov-2021,Merger/Acquisition,"""Burlington, MA""",flexion therapeutics,2007,Wikidata,MEDIUM,70,REVIEW,Q5459008,Flexion Therapeutics,hq=united states; desc=American biotechnology company
Flexiti,10-Mar-2021,Merger/Acquisition,"""Orangeville, Canada""",flexiti,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q21227730|Q21269974|Q29464085|Q77691994|Q62472312.json
FlightWave,04-Sep-2024,Merger/Acquisition,"""Humacao, PR""",flightwave,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flinks,08-Sep-2021,Merger/Acquisition,"""Montreal, Canada""",flinks,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q550401|Q108582833|Q132155964|Q34876186|Q31407327.json
flipMD,18-Feb-2022,Merger/Acquisition,"""Philadelphia, PA""",flipmd,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Flow Commerce,03-Jan-2022,Merger/Acquisition,"""Hoboken, NJ""",flow commerce,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
