order	company	size	category	hq	keywords	acquirer
384	Build.Security	39.3	Devtools/DevOps	Sunnyvale, CA	authorization management, authorization management platform, authorization platform, autho	Elastic (Database Software) (NYS: ESTC)(Shay Banon)
385	Immerok	54.9	Devtools/DevOps	Berlin, Germany	cloud services company, cloud streaming, cloud streaming technology, data driven operation	Confluent (NAS: CFLT)(Edward Jay Kreps)
386	Cloudways	311.2	Enterprise Software	Saint Julians, Malta	application hosting platform, cloud hosting, cloud hosting infrastructure, cloud server, e	DigitalOcean (NYS: DOCN)(Yancey Spruill)
387	Clearbit	146.79	Enterprise Software	San Francisco, CA	ai automation platform, crm, customer analysis, customer relationship management, data act	HubSpot (NYS: HUBS)(Yamini Rangan)
388	PathologyWatch	150.0	Healthcare	Salt Lake City, UT	ai software testing, biopsy sample, consultation service, dermatology care, electronic hea	Sonic Healthcare (ASX: SHL)(Colin Goldschmidt)
389	Memfault	138.3	Devtools/DevOps	San Francisco, CA	business monitoring, debugging tools, deployment tools, developer tools, device health, de	Nordic Semiconductor (OSL: NOD)(Vegard Wollan)
390	Lore IO	10.0	Enterprise Software	Sunnyvale, CA	ai automation platform, ai platform, analytics platform, application infrastructure, big d	Alteryx(Mark Anderson)
391	Arcion	100.0	Enterprise Software	San Mateo, CA	data integrity, data management software, data software & systems, data software and syste	Databricks
392	Sharedo	66.5	Enterprise Software	Cheshire, United Kingdom	case management software, claims management software, insurance claims management, law man	Clio(Jack Newton)
393	MPP Global	53.49	Enterprise Software	Warrington, United Kingdom	automated subscription billing, churn management software, customer lifecycle management, 	Aptitude Software (LON: APTD)
394	Bandyer	18.4	Enterprise Software	Milan, Italy	digital communication, online communication system, online video communication, remote com	Kaleyra(Dario Calogero)
395	Aran Biomedical	141.27	Healthcare	Galway, Ireland	cardiovascular implantables prosthesis, medical implantation, medical implants, orthopaedi	Integer Holdings (NYS: ITGR)(Joseph Dziedzic)
396	Jeeng	100.0	Enterprise Software	New York, NY	audience engagement platform, customer relationship management, email content, email engag	OpenWeb(Nadav Shoval)
397	WayCare	61.0	Enterprise Software	Sherman Oaks, CA	ai platform, analytics platform, cloud-based platform, congestion management, data science	Rekor Systems (NAS: REKR)(Robert Berman)
398	Haxiot	13.05	Enterprise Software	Plano, TX	cloud iot, data transformation, device management, edge computing, enterprise asset manage	Digi International (NAS: DGII)(Steve Ericson)
399	Jiobit	54.0	Enterprise Software	San Mateo, CA	analytics platform, gps tracker, location and technology, location intelligence platform, 	Life360 (NAS: LIF)(Chris Hulls)
400	Netsapiens	49.06	Enterprise Software	La Jolla, CA	collaboration platform, communication service, communications services, email and authorin	Crexendo (NAS: CXDO)(Steven Mihaylo)
401	Vetex Medical	43.62	Healthcare	Galway, Ireland	cage technology, catheter device, clinical outcomes, medical device, thrombolytic therapy,	Surmodics(Gary Maharaj)
402	Ivenix	240.0	Healthcare	North Andover, MA	enterprise resource planning, erp, healthcare company, infusion control, infusion manageme	Fresenius Kabi(Michael Sen)
403	Infocyte	43.52	Devtools/DevOps	Travis, TX	cyber security platform, cyber security service, malware detection, security service, thre	Datto(Timothy Weller), Vista Equity Partners
404	ContentCal	100.0	Enterprise Software	London, United Kingdom	content management, content management platform, digital marketing, digital marketing mana	Adobe (Multimedia and Design Software) (NAS: ADBE)(Ashley St
405	Laminar (Surgical Devices)	400.0	Healthcare	Santa Rosa, CA	cardiac arrhythmia, healthcare device, healthcare device makers, healthcare products selle	Johnson & Johnson MedTech
406	GroupBy	55.0	Enterprise Software	Toronto, Canada	business navigation, cloud data, data enrichment platform, ecommerce personalization, ecom	Rezolve Ai (NAS: RZLV)(Daniel Wagner)
407	Stylus	26.36	Enterprise Software	London, United Kingdom	advisory service, consumer behavior, industry insights, online subscription, research serv	GlobalData (LON: DATA)(Michael Danson)
408	Optoro	68.75	Enterprise Software	Washington, DC	assets recovery, inventory management, last mile delivery, online channel, returns managem	Blue Yonder (Scottsdale)(Tim Robinson)
409	Clumio	44.31	Devtools/DevOps	Santa Clara, CA	backup and recovery, backup software, cloud data protection, cloud data security, data enc	Commvault Systems (NAS: CVLT)
410	Delphai	14.68	Enterprise Software	Berlin, Germany	analytics platform, company database platform, data-powered services, market analytics, na	Intapp (NAS: INTA)(Thad Jampol)
411	Cedar Poly	15.4	Physical Economy	Tipton, IA	plastic recycled composites, plastic recycler, recyclable materials, recycler of waste, re	DecKorators
412	OneWelcome	94.65	Enterprise Software	Amersfoort, Netherlands	access management, access management platform, access management platform developer, acces	Thales (Aerospace and Defence) (PAR: HO)(Philippe Vall�e)
413	Data Mechanics	15.0	Enterprise Software	San Francisco, CA	data infrastructure, data infrastructure platform, data infrastructure systems, engineerin	NetApp (NAS: NTAP)(Anthony Lye)
414	Profitero	215.55	Enterprise Software	Boston, MA	analytics & cdps, analytics and cdps, business intelligence, crm, customer relationship ma	Publicis Groupe (PAR: PUB)(Arthur Sadoun)
415	Nlyte Software	82.0	Enterprise Software	Edison, NJ	asset management, data center application, data center management, digital infrastructure 	Carrier Global (NYS: CARR)
416	Garvis	27.2	Enterprise Software	Antwerp, Belgium	demand planning, demand planning platform, demand sensing, demand signal, enterprise resou	Logility (Acquired)
417	PlusDental	137.94	Healthcare	Berlin, Germany	dental aligners, dental braces, dental care, dental equipment, dental product, dental tech	Straumann Holding (SWX: STMN)(Guillaume Daniellot)
418	Greenbids	65.0	Enterprise Software	Paris, France	artificial intelligence model, carbon emission technology, carbon footprint reducer, data 	Perion Network (TAE: PERI)(Tal Jacobson)
419	Neura (Business/Productivity Software)	46.82	Enterprise Software	Palo Alto, CA	business intelligence platform, consumer behavioral analytics, consumer behavioral data, c	Otonomo Technologies(Ben Volkow)
