company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
LB Pharmaceuticals (NAS: LBRX),10-Sep-2025,IPO,"""New York, NY""",,,,
Leading Light,23-May-2023,Merger/Acquisition,"""G�teborg, Sweden""",,,,
Leaf Group,14-Jun-2021,Merger/Acquisition,"""New York, NY""",,,,
Leafline Labs,30-Dec-2021,Merger/Acquisition,"""Saint Cloud, MN""",,,,
League Network,30-Apr-2022,Merger/Acquisition,"""Newark, NJ""",,,,
Leanbio,02-Dec-2025,Merger/Acquisition,"""Barcelona, Spain""",,,,
Leap (Entertainment Software),12-Apr-2023,Merger/Acquisition,"""Birkirkara, Malta""",,,,
LeapYear,10-Feb-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
Learning to Sleep,03-Feb-2022,IPO,"""Malmo, Sweden""",,,,
LeaseTrack,01-Feb-2021,Merger/Acquisition,"""New York, NY""",,,,
LeddarTech Holdings (PINX: LDTCF),06-Dec-2023,Reverse Merger,"""Quebec City, Canada""",,,,
LedgerSwarm,01-Mar-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
Leef (Acquired),20-Apr-2022,Merger/Acquisition,"""Willits, CA""",,,,
Legimi (WAR: LEG),14-Apr-2021,IPO,"""Poznan, Poland""",,,,
Lemtapes,15-Dec-2022,Merger/Acquisition,"""Valkeakoski, Finland""",,,,
LendInvest (LON: LINV),14-Jul-2021,IPO,"""London, United Kingdom""",,,,
Lengo Therapeutics,30-Dec-2021,Merger/Acquisition,"""San Diego, CA""",,,,
Lensar (NAS: LNSR),01-Sep-2025,Merger/Acquisition,"""Orlando, FL""",,,,
LENZ Therapeutics (NAS: LENZ),21-Mar-2024,Reverse Merger,"""Solana Beach, CA""",,,,
LeoVegas Mobile Gaming Group,07-Sep-2022,Merger/Acquisition,"""Stockholm, Sweden""",,,,
Lepermislibre (PAR: ALLPL),13-Feb-2023,IPO,"""Lyon, France""",,,,
Lerta,01-Feb-2023,Merger/Acquisition,"""Poznan, Poland""",,,,
Lessonly,16-Aug-2021,Merger/Acquisition,"""Indianapolis, IN""",,,,
LevelCredit,17-Feb-2022,Merger/Acquisition,"""St. Louis Park, MN""",,,,
Levelset,02-Nov-2021,Merger/Acquisition,"""New Orleans, LA""",,,,
LevlUp,31-May-2021,Merger/Acquisition,"""Heerenveen, Netherlands""",,,,
Levvel (Consulting Services (B2B)),31-Mar-2021,Merger/Acquisition,"""Charlotte, NC""",,,,
Lexeo Therapeutics (NAS: LXEO),03-Nov-2023,IPO,"""New York, NY""",,,,
Lexion,06-May-2024,Merger/Acquisition,"""Seattle, WA""",,,,
LG Ads Solutions,06-Jan-2021,Merger/Acquisition,"""Mountain View, CA""",,,,
Lhyfe (PAR: LHYFE),23-May-2022,IPO,"""Nantes, France""",,,,
Li-Cycle,11-Aug-2021,Reverse Merger,"""Toronto, Canada""",,,,
Libertine (Electrical Equipment),23-Dec-2021,IPO,"""Sheffield, United Kingdom""",,,,
LibertyX,05-Jan-2022,Merger/Acquisition,"""Atlanta, GA""",,,,
Libra (Legal Services),19-Nov-2025,Merger/Acquisition,"""Berlin, Germany""",,,,
Lichthund (WAR: LHD),13-May-2024,IPO,"""Warsaw, Poland""",,,,
LifeDNA,03-May-2023,Merger/Acquisition,"""Honolulu, HI""",,,,
LifeSafe Holdings (STU: JZ3),06-Jul-2022,IPO,"""Essex, United Kingdom""",,,,
Lifestage Solutions,26-Jul-2021,Merger/Acquisition,"""Otelfingen, Switzerland""",,,,
Lift Session,08-Oct-2021,Merger/Acquisition,"""Montreal, Canada""",,,,
LightDeck,03-Jan-2023,Merger/Acquisition,"""Boulder, CO""",,,,
Lightning eMotors (PINX: ZEVY),07-May-2021,Reverse Merger,"""Loveland, CO""",,,,
LightOn (PAR: ALTAI),26-Nov-2024,IPO,"""Paris, France""",,,,
Lightpoint Medical,01-Nov-2023,Merger/Acquisition,"""Amersham, United Kingdom""",,,,
LightStep,15-Jun-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Lightstream,12-Apr-2021,Merger/Acquisition,"""Chicago, IL""",,,,
Lilium (PINX: LILMF),14-Sep-2021,Reverse Merger,"""Gauting, Germany""",,,,
Limeade,10-Aug-2023,Merger/Acquisition,"""Bellevue, WA""",,,,
LimFlow,15-Nov-2023,Merger/Acquisition,"""Paris, France""",,,,
Lineage (NAS: LINE),26-Jul-2024,IPO,"""Novi, MI""",,,,
Lingotek,21-Jan-2021,Merger/Acquisition,"""Lehi, UT""",,,,
Lingualeo,20-Apr-2023,Merger/Acquisition,"""Moscow, Russia""",,,,
Link3D,04-Jan-2022,Merger/Acquisition,"""Boulder, CO""",,,,
Linkfire,28-Jun-2021,IPO,"""Copenhagen, Denmark""",,,,
Linkfluence,05-May-2021,Merger/Acquisition,"""Paris, France""",,,,
LinkUp (Human Capital Services),27-Oct-2024,Merger/Acquisition,"""Minneapolis, MN""",,,,
Lion Gaming,15-Jan-2025,Merger/Acquisition,"""Calgary, Canada""",,,,
Lion Semiconductor,20-Jul-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Lipella Pharmaceuticals (PINX: LIPO),20-Dec-2022,IPO,"""Pittsburgh, PA""",,,,
Lipigon Pharmaceuticals (STO: LPGO),01-Mar-2021,IPO,"""Umeaa, Sweden""",,,,
Lipum (STO: LIPUM),22-Apr-2021,IPO,"""Umea, Sweden""",,,,
Liqal,15-Oct-2021,Merger/Acquisition,"""Breda, Netherlands""",,,,
Lithium Balance,29-Jan-2021,Merger/Acquisition,"""Herlev, Denmark""",,,,
Live Motion Games (WAR: LMG),03-Dec-2021,IPO,"""Warsaw, Poland""",,,,
Live Objects,01-May-2021,Merger/Acquisition,"""Palo Alto, CA""",,,,
LiveBy,20-Apr-2021,Merger/Acquisition,"""Lincoln, NE""",,,,
LiveEasy,22-Oct-2024,Merger/Acquisition,"""Columbus, OH""",,,,
LiveIntent,21-Oct-2024,Merger/Acquisition,"""New York, NY""",,,,
Livity ( Media and Information Services),28-Feb-2022,Merger/Acquisition,"""London, United Kingdom""",,,,
LivsMed (KRX: 491000),24-Dec-2025,IPO,"""San Diego, CA""",,,,
LlamaZOO,26-May-2025,Merger/Acquisition,"""Victoria, Canada""",,,,
Lmrkts,13-Aug-2021,Merger/Acquisition,"""New York, NY""",,,,
Lobesity,19-Jul-2021,Merger/Acquisition,"""Cleveland, OH""",,,,
Lobo Genetics,29-Jul-2021,Merger/Acquisition,"""Mississauga, Canada""",,,,
Local Bounti (NYS: LOCL),19-Nov-2021,Reverse Merger,"""Hamilton, MT""",,,,
Locally.io,18-Feb-2021,Merger/Acquisition,"""Irvine, CA""",,,,
Locals Technology,25-Oct-2021,Merger/Acquisition,"""Longboat Key, FL""",,,,
Locked On Podcast Network,27-Jan-2021,Merger/Acquisition,"""Park City, UT""",,,,
Lodo Therapeutics,16-May-2021,Merger/Acquisition,"""New York, NY""",,,,
LogicBio Therapeutics,16-Nov-2022,Merger/Acquisition,"""Lexington, MA""",,,,
Logik.io,30-May-2025,Merger/Acquisition,"""Deerfield, IL""",,,,
LogiNext,16-Aug-2024,Buyout/LBO,"""Jersey City, NJ""",,,,
Longboard Pharmaceuticals,12-Mar-2021,IPO,"""La Jolla, CA""",,,,
Longbridge Financial,03-Oct-2022,Merger/Acquisition,"""Paramus, NJ""",,,,
Longeveron (NAS: LGVN),12-Feb-2021,IPO,"""Miami, FL""",,,,
Loom,30-Nov-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
Loop (Energy Storage),25-Feb-2021,IPO,"""Burnaby, Canada""",,,,
Loqed,11-Jul-2024,Merger/Acquisition,"""Maarssen, Netherlands""",,,,
Lore IO,21-Oct-2021,Merger/Acquisition,"""Sunnyvale, CA""",,,,
Los Angeles BEAT,23-Sep-2025,Merger/Acquisition,"""Los Angeles, CA""",,,,
Loudpack,04-Apr-2022,Merger/Acquisition,"""Los Angeles, CA""",,,,
Louisville Vegan Jerky,12-Jun-2023,Buyout/LBO,"""Louisville, KY""",,,,
LoungeUp,18-Mar-2024,Merger/Acquisition,"""Paris, France""",,,,
Loupe (Entertainment Software),23-Dec-2024,Merger/Acquisition,"""Atlanta, GA""",,,,
Lovely Candy Company,21-Feb-2022,Merger/Acquisition,"""Lake in the Hills, IL""",,,,
Lovenature Superfoods,06-Feb-2024,Buyout/LBO,"""The Hague, Netherlands""",,,,
Lowell Farms (CNQ: LOWL),05-Mar-2021,Reverse Merger,"""Salinas, CA""",,,,
Lowell Therapeutics,10-Jan-2022,Merger/Acquisition,"""Lowell, MA""",,,,
Loxysoft,01-Jan-2021,Merger/Acquisition,"""Ostersund, Sweden""",,,,
Lua (Business/Productivity Software),23-Mar-2021,Merger/Acquisition,"""Copenhagen, Denmark""",,,,
Lucid (Media and Information Services (B2B)),29-Dec-2021,Merger/Acquisition,"""New Orleans, LA""",,,,
Lucira Health,05-Feb-2021,IPO,"""Emeryville, CA""",,,,
Lucky Kat,03-Jan-2022,Merger/Acquisition,"""Hague, Netherlands""",,,,
Lucy Scientific Discovery,09-Feb-2023,IPO,"""Victoria, Canada""",,,,
Lumed,08-Jan-2024,Merger/Acquisition,"""Sherbrooke, Canada""",,,,
LumenRadio (STO: LUMEN),08-Dec-2022,IPO,"""Gothenburg, Sweden""",,,,
Lumeon,02-Aug-2024,Merger/Acquisition,"""Boston, MA""",,,,
Lumina Instruments,31-Oct-2024,Merger/Acquisition,"""San Jose, CA""",,,,
Lunaphore,07-Jul-2023,Merger/Acquisition,"""Tolochenaz, Switzerland""",,,,
Lunching,29-Apr-2022,Merger/Acquisition,"""Krakow, Poland""",,,,
LungLife AI,08-Jul-2021,IPO,"""Thousand Oaks, CA""",,,,
Lusoco,15-May-2023,Merger/Acquisition,"""Eindhoven, Netherlands""",,,,
Lyckeg�rd (STO: LYGRD),21-Feb-2022,IPO,"""V�ster�s, Sweden""",,,,
Lyell Immunopharma (NAS: LYEL),17-Jun-2021,IPO,"""South San Francisco, CA""",,,,
LYF Edibles,05-Mar-2021,Merger/Acquisition,"""Kelowna, Canada""",,,,
Lympo,01-Jan-2021,Merger/Acquisition,"""Vilnius, Lithuania""",,,,
Lyst,09-Apr-2025,Merger/Acquisition,"""London, United Kingdom""",,,,
Lytix Biopharma (OSL: LYTIX),14-Jun-2021,IPO,"""Oslo, Norway""",,,,
MaaT Pharma (PAR: MAAT),08-Nov-2021,IPO,"""Lyon, France""",,,,
Mablink,01-Dec-2023,Merger/Acquisition,"""Lyon, France""",,,,
Mabrian,22-Nov-2023,Merger/Acquisition,"""Menorca, Spain""",,,,
Machinery Analytics,05-Jul-2023,Merger/Acquisition,"""Vancouver, Canada""",,,,
Maddox Defense,31-Oct-2023,Merger/Acquisition,"""San Diego, CA""",,,,
Made Scientific,19-Apr-2022,Merger/Acquisition,"""Princeton, NJ""",,,,
Maestro Health,01-Nov-2022,Merger/Acquisition,"""Chicago, IL""",,,,
Magenta Therapeutics,11-Sep-2023,Merger/Acquisition,"""Cambridge, MA""",,,,
Magic Fuel Games,06-Jun-2022,Merger/Acquisition,"""Pleasanton, CA""",,,,
MagicMed Industries,16-Sep-2021,Merger/Acquisition,"""Calgary, Canada""",,,,
MAGnetIC (Electronic Equipment and Instruments),06-May-2024,Merger/Acquisition,"""Delft, Netherlands""",,,,
Magnopus,01-Sep-2021,Merger/Acquisition,"""Los Angeles, CA""",,,,
Magseis Fairfield,11-Oct-2022,Merger/Acquisition,"""Oslo, Norway""",,,,
MAIA Biotechnology (ASE: MAIA),28-Jul-2022,IPO,"""Chicago, IL""",,,,
MailerLite,26-Apr-2022,Merger/Acquisition,"""Dublin, Ireland""",,,,
Mainstream Renewable Power,11-May-2021,Merger/Acquisition,"""Dublin, Ireland""",,,,
Mainz Biomed (NAS: MYNZ),08-Nov-2021,IPO,"""Mainz, Germany""",,,,
Makeswift,31-Oct-2023,Merger/Acquisition,"""Atlanta, GA""",,,,
Malizen,25-Nov-2025,Merger/Acquisition,"""Rennes, France""",,,,
Malloy Aeronautics,31-Jan-2024,Merger/Acquisition,"""Berkshire, United Kingdom""",,,,
Mandiant,12-Sep-2022,Merger/Acquisition,"""Reston, VA""",,,,
Mangoceuticals (NAS: MGRX),21-Mar-2023,IPO,"""Dallas, TX""",,,,
MANTL,17-Mar-2025,Merger/Acquisition,"""Jersey City, NJ""",,,,
MapLight (NAS: MPLT),27-Oct-2025,IPO,"""Redwood City, CA""",,,,
Mapwize,02-Sep-2021,Merger/Acquisition,"""Lille, France""",,,,
Mariana Oncology,02-May-2024,Merger/Acquisition,"""Watertown, MA""",,,,
Marine Performance Systems,21-Mar-2023,Merger/Acquisition,"""Rotterdam, Netherlands""",,,,
Markforged,14-Jul-2021,Reverse Merger,"""Waltham, MA""",,,,
Marpai (PINX: MRAI),27-Oct-2021,IPO,"""Tampa, FL""",,,,
Marqeta (NAS: MQ),09-Jun-2021,IPO,"""Oakland, CA""",,,,
Marrone Bio Innovations,12-Jul-2022,Merger/Acquisition,"""Raleigh, NC""",,,,
Martin (Consulting Services (B2B)),16-Sep-2022,Merger/Acquisition,"""Cincinnati, OH""",,,,
MashMeGroup,29-Sep-2021,Merger/Acquisition,"""Madrid, Spain""",,,,
Mashup Ireland (STO: MASHUP),23-Feb-2024,Merger/Acquisition,"""Waterford, Ireland""",,,,
Masten Space Systems,12-Sep-2022,Merger/Acquisition,"""Mojave, CA""",,,,
Match2One,30-Sep-2021,Merger/Acquisition,"""Stockholm, Sweden""",,,,
MatchBio,01-Jan-2024,Buyout/LBO,"""London, United Kingdom""",,,,
Material Intellect,15-Apr-2022,Merger of Equals,"""Houston, TX""",,,,
"""Matrix (Electronic, Equipment, and Instruments)""",23-Feb-2021,Merger/Acquisition,"""Miami Beach, FL""",,,,
MATRIXX Software,03-Feb-2026,Merger/Acquisition,"""Saratoga, CA""",,,,
Matter (Financial Services),18-Aug-2025,Merger/Acquisition,"""Copenhagen, Denmark""",,,,
Matterport,22-Jul-2021,Reverse Merger,"""Sunnyvale, CA""",,,,
Matthew Kenney,27-May-2021,Merger/Acquisition,"""Santa Monica, CA""",,,,
Mavely,01-Apr-2021,Merger/Acquisition,"""Chicago, IL""",,,,
Maven Wireless (STO: MAVEN),10-Jun-2021,IPO,"""Kista, Sweden""",,,,
Maverick Therapeutics,01-Oct-2021,Merger/Acquisition,"""Brisbane, CA""",,,,
Mawson Infrastructure Group (NAS: MIGI),17-Mar-2021,Reverse Merger,"""Midland, PA""",,,,
Maxbone,06-Apr-2023,Merger/Acquisition,"""Los Angeles, CA""",,,,
Maxeler Technologies,01-Mar-2022,Merger/Acquisition,"""Lewes, DE""",,,,
Maximum Games,29-Nov-2021,Merger/Acquisition,"""Walnut Creek, CA""",,,,
Mayht,11-Apr-2022,Merger/Acquisition,"""Nieuw-Vennep, Netherlands""",,,,
Maza,24-Apr-2025,Merger/Acquisition,"""Los Angeles, CA""",,,,
Maze Therapeutics (NAS: MAZE),30-Jan-2025,IPO,"""South San Francisco, CA""",,,,
MBX Biosciences (NAS: MBX),13-Sep-2024,IPO,"""Carmel, IN""",,,,
MDLive,19-Apr-2021,Merger/Acquisition,"""Miramar, FL""",,,,
MDsave,27-Sep-2023,Merger/Acquisition,"""Brentwood, TN""",,,,
Measure (Business/Productivity Software),01-Apr-2021,Merger/Acquisition,"""Washington, DC""",,,,
Measure Global,19-Apr-2021,Merger/Acquisition,"""Washington, DC""",,,,
MeasureOne,22-Jun-2023,Buyout/LBO,"""San Francisco, CA""",,,,
Meati,07-May-2025,Merger/Acquisition,"""Boulder, CO""",,,,
Meatless Farm,20-Jun-2023,Merger/Acquisition,"""Leeds, United Kingdom""",,,,
MedApp,26-Mar-2021,Merger/Acquisition,"""Eindhoven, Netherlands""",,,,
MedAware Systems,11-Apr-2023,Merger/Acquisition,"""Broomfield, CO""",,,,
MedCurrent,04-Oct-2024,Merger/Acquisition,"""Toronto, Canada""",,,,
MediaCrossing,30-Nov-2021,Merger/Acquisition,"""Stamford, CT""",,,,
Medicx,24-Oct-2023,Merger/Acquisition,"""Scottsdale, AZ""",,,,
MediGO (Healthcare Technology Systems),21-Jul-2023,Merger/Acquisition,"""Baltimore, MD""",,,,
Mednow.ca (PINX: MDNWF),09-Mar-2021,IPO,"""Toronto, Canada""",,,,
Meds Apotek (STO: MEDS),23-Sep-2025,IPO,"""Stockholm, Sweden""",,,,
MedServe,22-Mar-2021,Buyout/LBO,"""Milwaukee, WI""",,,,
MedShape,26-Apr-2021,Merger/Acquisition,"""Atlanta, GA""",,,,
Meetrics,31-Aug-2021,Merger/Acquisition,"""Berlin, Germany""",,,,
Melio,15-Oct-2025,Merger/Acquisition,"""New York, NY""",,,,
Meller,12-Jul-2025,Merger/Acquisition,"""Barcelona, Spain""",,,,
Mellitus Health,14-Jun-2022,Merger/Acquisition,"""Beverly Hills, CA""",,,,
Melon (Entertainment Software),04-May-2023,Merger/Acquisition,"""Orlando, FL""",,,,
Memfault,01-Jul-2025,Merger/Acquisition,"""San Francisco, CA""",,,,
Mendell Helium (NEXX: VOY),30-Jun-2021,IPO,"""Perth, United Kingdom""",,,,
Mercatus,01-Sep-2021,Merger/Acquisition,"""San Mateo, CA""",,,,
MergeBase,27-Jun-2024,Merger/Acquisition,"""Coquitlam, Canada""",,,,
Mersana Therapeutics,06-Jan-2026,Merger/Acquisition,"""Cambridge, MA""",,,,
Merus,12-Dec-2025,Merger/Acquisition,"""Utrecht, Netherlands""",,,,
Merus Power (HEL: MERUS),08-Jun-2021,IPO,"""Yl�j�rvi, Finland""",,,,
Mesa Biotech,25-Feb-2021,Merger/Acquisition,"""San Diego, CA""",,,,
Mesa Cloud,15-Feb-2023,Merger/Acquisition,"""Austin, TX""",,,,
MesDocteurs,16-May-2022,Merger/Acquisition,"""Aubagne, France""",,,,
Metabolic Nordic,19-May-2021,IPO,"""Malmo, Sweden""",,,,
Metabolomic Diagnostics,24-Sep-2024,Merger/Acquisition,"""Little Island, Ireland""",,,,
Metaco,17-May-2023,Merger/Acquisition,"""Lausanne, Switzerland""",,,,
Metagenomi Therapeutics (NAS: MGX),09-Feb-2024,IPO,"""Emeryville, CA""",,,,
Metal Casino,02-Apr-2024,Merger/Acquisition,"""Ta' Xbiex, Malta""",,,,
Metamorphic,14-Nov-2024,Merger/Acquisition,"""Stavanger, Norway""",,,,
Methinks (Business/Productivity Software),23-Jun-2022,Merger/Acquisition,"""Mountain View, CA""",,,,
Metria,01-Apr-2022,Merger/Acquisition,"""Stockholm, Sweden""",,,,
Metro Bank (LON: MTRO),03-Nov-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
Metromile,09-Feb-2021,Reverse Merger,"""San Francisco, CA""",,,,
Metsera,31-Jan-2025,IPO,"""New York, NY""",,,,
Mevo (Electronics (B2C)),17-Feb-2021,Merger/Acquisition,"""Brooklyn, NY""",,,,
MGO Global,13-Jan-2023,IPO,"""Fort Lauderdale, FL""",,,,
Miata Metals (CNQ: MMET),20-Jul-2023,IPO,"""Vancouver, Canada""",,,,
MicaSense,27-Jan-2021,Merger/Acquisition,"""Seattle, WA""",,,,
Micro-LAM,29-Jul-2025,Merger/Acquisition,"""Portage, MI""",,,,
MicroSalt (LON: SALT),01-Feb-2024,IPO,"""West Palm Beach, FL""",,,,
Midori Animal Health,27-Jul-2021,Merger/Acquisition,"""Cambridge, MA""",,,,
Mighty Plants,02-May-2022,Merger/Acquisition,"""Dawlish, United Kingdom""",,,,
Mijem (CNQ: MJEM.X),10-Jan-2022,IPO,"""Toronto, Canada""",,,,
Miles Space,17-Jan-2024,Merger/Acquisition,"""Tampa, FL""",,,,
Military Metals (CNQ: MILI),30-Jun-2022,IPO,"""Vancouver, Canada""",,,,
Million Studio,06-Mar-2023,Merger/Acquisition,"""Boston, MA""",,,,
Mimosa Networks,11-Aug-2023,Merger/Acquisition,"""Santa Clara, CA""",,,,
Minalyze,22-Sep-2023,Merger/Acquisition,"""Goeteborg, Sweden""",,,,
MindBeacon,14-Jan-2022,Merger/Acquisition,"""Toronto, Canada""",,,,
Mindleap Health,12-Dec-2022,Merger/Acquisition,"""Vancouver, Canada""",,,,
Minehub Technologies (TSX: MHUB),07-Sep-2021,IPO,"""Vancouver, Canada""",,,,
MineralTree,18-Oct-2021,Merger/Acquisition,"""Boston, MA""",,,,
MineralWare,02-May-2022,Merger/Acquisition,"""Fort Worth, TX""",,,,
Mineralys (NAS: MLYS),09-Feb-2023,IPO,"""Radnor, PA""",,,,
Minerva (Therapeutic Devices) (PINX: UTRS),26-Oct-2021,IPO,"""Santa Clara, CA""",,,,
Mingl (Business/Productivity Software),08-Mar-2021,Merger/Acquisition,"""Oslo, Norway""",,,,
Minna Technologies,01-Nov-2024,Merger/Acquisition,"""Gothenburg, Sweden""",,,,
Mipsology,24-Aug-2023,Merger/Acquisition,"""Palaiseau, France""",,,,
Mir,09-Dec-2021,Merger/Acquisition,"""Richmond, CA""",,,,
Mira Beauty,01-Nov-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
MIRA Pharmaceuticals (NAS: MIRA),03-Aug-2023,IPO,"""Baltimore, MD""",,,,
Mirametrix,12-Nov-2021,Merger/Acquisition,"""Montreal, Canada""",,,,
MIRO Analytical,02-Oct-2023,Merger/Acquisition,"""Wallisellen, Switzerland""",,,,
MiroBio,20-Sep-2022,Merger/Acquisition,"""Oxford, United Kingdom""",,,,
Miromatrix Medical,24-Jun-2021,IPO,"""Eden Prairie, MN""",,,,
Miso Tasty,02-Jun-2023,Merger/Acquisition,"""Greenford, United Kingdom""",,,,
Mister Spex (FRA: MRX),02-Jul-2021,IPO,"""Berlin, Germany""",,,,
Mitokinin,04-Oct-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
MixComm,01-Feb-2022,Merger/Acquisition,"""Chatham, NJ""",,,,
MK Decision,10-Sep-2021,Merger/Acquisition,"""San Diego, CA""",,,,
ML Genius Holdings,16-Sep-2021,Merger/Acquisition,"""Santa Monica, CA""",,,,
MNTN (NYS: MNTN),22-May-2025,IPO,"""Austin, TX""",,,,
Mobcrush,01-Jun-2021,Merger/Acquisition,"""Santa Monica, CA""",,,,
Mobile reCell,22-Jan-2024,Merger/Acquisition,"""Fishers, IN""",,,,
Mobile Vikings,01-Jun-2021,Merger/Acquisition,"""Hasselt, Belgium""",,,,
MobileSoft,21-Mar-2023,Merger/Acquisition,"""Rome, Italy""",,,,
Mobius Therapeutics,16-May-2025,Merger/Acquisition,"""Saint Louis, MO""",,,,
Mobix Labs (NAS: MOBX),21-Dec-2023,Reverse Merger,"""Irvine, CA""",,,,
Mode (Business Productivity Software),19-Jul-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
Modera (TAL: MODE),15-Oct-2021,IPO,"""Tallinn, Estonia""",,,,
Modern Fertility,19-May-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Modern Times Beer,04-Nov-2022,Merger/Acquisition,"""San Diego, CA""",,,,
Modern Water,15-Jan-2021,Merger/Acquisition,"""Sand Hutton, United Kingdom""",,,,
ModeX Therapeutics,09-May-2022,Merger/Acquisition,"""Natick, MA""",,,,
Modifi Bio,15-Oct-2024,Merger/Acquisition,"""New Haven, CT""",,,,
Modus (Media and Information Services (B2B)),20-Jul-2023,Merger/Acquisition,"""Minneapolis, MN""",,,,
Modus Therapeutics (STO: MODTX),22-Jul-2021,IPO,"""Stockholm, Sweden""",,,,
Moka (Montreal),04-May-2021,Merger/Acquisition,"""Montreal, Canada""",,,,
Molecubes,17-Nov-2021,Merger/Acquisition,"""Gent, Belgium""",,,,
Molecular Assemblies,23-Jan-2025,Merger/Acquisition,"""San Diego, CA""",,,,
Molecular Science,08-Jul-2021,Merger/Acquisition,"""Scarborough, Canada""",,,,
Molotov,06-Dec-2021,Merger/Acquisition,"""Paris, France""",,,,
MOMA,06-Dec-2021,Merger/Acquisition,"""Milton Keynes, United Kingdom""",,,,
Momentus (NAS: MNTS),12-Aug-2021,Reverse Merger,"""San Jose, CA""",,,,
Monese,09-Oct-2024,Merger/Acquisition,"""London, United Kingdom""",,,,
MoneyLion,22-Sep-2021,Reverse Merger,"""New York, NY""",,,,
Monk AI,22-Feb-2022,Merger/Acquisition,"""Paris, France""",,,,
monoDrive,23-Apr-2021,Merger/Acquisition,"""Austin, TX""",,,,
Monogram Technologies (Therapeutic Devices),18-May-2023,IPO,"""Austin, TX""",,,,
Monte Rosa Therapeutics (NAS: GLUE),24-Jun-2021,IPO,"""Boston, MA""",,,,
Moolec Science (NAS: MLEC),03-Jan-2023,Reverse Merger,Luxembourg,,,,
MoonLake Immunotherapeutics (NAS: MLTX),06-Apr-2022,Reverse Merger,"""Zug, Switzerland""",,,,
MoPub,01-Jan-2022,Merger/Acquisition,"""San Francisco, CA""",,,,
Morpheus Data,30-Aug-2024,Merger/Acquisition,"""Greenwood Village, CO""",,,,
Morphic Therapeutic,16-Aug-2024,Merger/Acquisition,"""Waltham, MA""",,,,
MortgageGym,15-Feb-2021,Merger/Acquisition,"""Reading, United Kingdom""",,,,
MosaicML,12-Jul-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
Motif Labs,06-Dec-2024,Merger/Acquisition,"""London, Canada""",,,,
Motimate,22-Apr-2021,Merger/Acquisition,"""Oslo, Norway""",,,,
Motkraft,24-Jul-2024,Merger/Acquisition,"""Oslo, Norway""",,,,
Motley,29-Oct-2021,Merger/Acquisition,"""Helsinki, Finland""",,,,
Movano Health (NAS: MOVE),23-Mar-2021,IPO,"""Pleasanton, CA""",,,,
Move About,23-Feb-2022,IPO,"""Gothenburg, Sweden""",,,,
MoveByBike Europe (SAT: MBBAB),16-Jun-2021,IPO,"""Malmo, Sweden""",,,,
Moveworks,10-Mar-2025,Merger/Acquisition,"""Mountain View, CA""",,,,
MoviePass,12-Nov-2021,Merger/Acquisition,"""New York, NY""",,,,
Mowico,17-Feb-2021,Merger/Acquisition,"""Palo Alto, CA""",,,,
Moz (Business/Productivity Software),04-Jun-2021,Merger/Acquisition,"""Seattle, WA""",,,,
mParticle,16-Jan-2025,Merger/Acquisition,"""New York, NY""",,,,
MPP Global,09-Oct-2021,Merger/Acquisition,"""Warrington, United Kingdom""",,,,
MS Transverse,04-Jan-2023,Merger/Acquisition,"""Los Angeles, CA""",,,,
MSP Recovery (PINX: MSPR),23-May-2022,Reverse Merger,"""Coral Gables, FL""",,,,
Musimap,29-Sep-2021,Merger/Acquisition,"""Liege, Belgium""",,,,
Mutual Mobile,23-Dec-2022,Merger/Acquisition,"""Austin, TX""",,,,
My Beat (SAT: MYBEAT),30-May-2022,IPO,"""Stockholm, Sweden""",,,,
My Pathway,04-Nov-2022,Merger/Acquisition,"""London, United Kingdom""",,,,
Myelo Therapeutics,15-Dec-2022,Merger/Acquisition,"""Berlin, Germany""",,,,
Myinfomonitor,01-Mar-2021,Merger/Acquisition,"""Tampere, Finland""",,,,
MyJobNow,01-Apr-2021,Merger/Acquisition,"""Athens, Greece""",,,,
Mynurva,10-Sep-2025,Merger/Acquisition,"""Canterbury, United Kingdom""",,,,
MYR Pharmaceuticals,04-Mar-2021,Merger/Acquisition,"""Bad Homburg, Germany""",,,,
MyRissi,14-Apr-2021,Merger/Acquisition,"""Vandoeuvre Les Nancy, France""",,,,
Myrmex,23-May-2022,Merger/Acquisition,"""Fremont, CA""",,,,
Myseum (NAS: MYSE),13-Aug-2021,IPO,"""New Brunswick, NJ""",,,,
Myxx,04-Oct-2022,Merger/Acquisition,"""Cary, NC""",,,,
N-Dream,18-Nov-2025,Merger/Acquisition,"""Zurich, Switzerland""",,,,
Naiz Fit,11-Oct-2022,Merger/Acquisition,"""San Sebastian, Spain""",,,,
Nalu Medical,27-Jan-2026,Merger/Acquisition,"""Carlsbad, CA""",,,,
