company,latest_exit_date,deal_type,hq_location,search_query,founding_date,source,confidence,status,page_url,page_title,notes
&ever,01-Oct-2021,Merger/Acquisition,"""Munich, Germany""","""&ever"" official site founded",,Official site heuristic,LOW,MATCH_NO_DATE,https://www.stuller.com/everandever,Ever&Ever Bridal Collection | Stuller,"Search found plausible site, but no founding language was extracted"
21seeds,31-Mar-2022,Merger/Acquisition,"""San Francisco, CA""","""21seeds"" official site founded",2019,Official site heuristic,MEDIUM,SITE_MATCH,https://www.diageo.com/en/news-and-media/press-releases/2022/diageo-acquires-female-owned-super-premium-flavoured-tequila-brand-21seeds,"Diageo acquires female-owned, super-premium flavoured tequila brand, 21Seeds | Diageo",Extracted from site text: founded in 2019
24Storage,20-Dec-2021,Merger/Acquisition,"""Stockholm, Sweden""","""24Storage"" official site founded",2015,Official site heuristic,MEDIUM,SITE_MATCH,https://dev.swfinstitute.org/profile/5e39a484fcbe7e8ca71a8b8d,"24Storage - Company, Sweden - SWFI",Extracted from site text: founded in 2015
