company,latest_exit_date,deal_type,hq_location,search_query,founding_date,source,confidence,status,page_url,page_title,notes
&ever,01-Oct-2021,Merger/Acquisition,"""Munich, Germany""","""&ever"" official site founded",,Official site heuristic,LOW,MATCH_NO_DATE,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.stuller.com%2Feverandever&rut=ec33f1274cc44a5eb1ab710e0ef3c65e03393f6c69fcc6f26eac17c1ee4a95ed,Ever&Ever Bridal Collection | Stuller,"Search found plausible site, but no founding language was extracted"
21seeds,31-Mar-2022,Merger/Acquisition,"""San Francisco, CA""","""21seeds"" official site founded",,Official site heuristic,LOW,MATCH_NO_DATE,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.21seeds.com%2Four%2Dstory&rut=6be65f28dae61f09c7ad0fd56492d6d4c612bad91962f7792dfedc2c01b09ac6,Our Story - 21 Seeds Tequila,"Search found plausible site, but no founding language was extracted"
24Storage,20-Dec-2021,Merger/Acquisition,"""Stockholm, Sweden""","""24Storage"" official site founded",,Official site heuristic,LOW,MATCH_NO_DATE,//duckduckgo.com/l/?uddg=https%3A%2F%2Ftracxn.com%2Fd%2Fcompanies%2F24storage%2F__H8kjvDStBkWC9BbiogXk5q95dEpgubcAC%2DF73CQCKLI&rut=89dbb19ae6d0add63f927505869f799df7e9ce52fe661cba0a87c028bac5e9b9,24Storage - 2025 Company Profile & Team - Tracxn,"Search found plausible site, but no founding language was extracted"
2600Hz,20-Oct-2023,Merger/Acquisition,"""Henderson, NV""","""2600Hz"" official site founded",,Official site heuristic,LOW,MATCH_NO_DATE,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.2600hz.com%2Fabout%2Dus&rut=1d4b10cb991fbc1e8acfbe41d6d52e268519916c4adcc0ffe06ce22f84069ac3,About 2600Hz: UCaaS Solutions Company | 2600Hz,"Search found plausible site, but no founding language was extracted"
2nd.MD,02-Mar-2021,Merger/Acquisition,"""Houston, TX""","""2nd.MD"" official site founded",,Official site heuristic,LOW,MATCH_NO_DATE,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.2nd.md%2Fabout%2Dus&rut=4ae675d0d97cafe33e2f2f12763e7e15f2036a12bcce4329db318f753733bb0e,About Us | 2nd.MD,"Search found plausible site, but no founding language was extracted"
