company,latest_exit_date,deal_type,hq_location,search_query,founding_date,source,confidence,status,page_url,page_title,notes
&ever,01-Oct-2021,Merger/Acquisition,"""Munich, Germany""","""&ever"" official site founded about story",,Official site search,NONE,NO_SEARCH_RESULT,,,No suitable search result found
21seeds,31-Mar-2022,Merger/Acquisition,"""San Francisco, CA""","""21seeds"" official site founded about story",,Official site heuristic,LOW,MATCH_NO_DATE,https://www.21seeds.com/our-story,Our Story - 21 Seeds Tequila,"Search found plausible site, but no founding language was extracted; result_score=45"
24Storage,20-Dec-2021,Merger/Acquisition,"""Stockholm, Sweden""","""24Storage"" official site founded about story",2015,Official site heuristic,MEDIUM,SITE_MATCH,https://nordic9.com/news/24storage-was-acquired-by-nuveen-real-estate-in-a-238-million-deal/,24Storage was acquired by Nuveen Real Estate in a $238 million deal. | Nordic 9,Extracted from site text: founded in 2015; result_score=20
